nuclide,age,MgO,Cluncertainty,shielding factor,Th,Al2O3,default sea level pressure,TiO2,density,Fe2O3,clRatio,thickness,K2O,ratioUncertainty,latitude,B,elevation,SiO2,ageUncertainty,U,Sm,MnO,landform group,default sea level temperature,CO2,id,Cl,P2O5,volumetric water,longitude,Na2O,Gd,CaO,default lapse rate
36Cl,17200,0.32,2.65,1,11,19.2,1042,0.56,2.6,0.93,474,3,0.35,44,43.236,5,1925,67.3,1800,2.8,4.9,0.04,Pinedale3,18,0,BL92-2-PN3,53,0.03,0.5,250.92,6.15,4.9,5.2,6.6
36Cl,10000,1.94,7.7,1,11,18.2,1042,0.51,2.6,4.69,211,3,0.93,20,43.234,5,1930,62.1,1200,2.8,4.9,0.09,Pinedale3,18,0,BL92-5-PN3,154,0.02,0.5,250.92,5.06,4.9,6.01,6.6
36Cl,18100,0.2,3.9,1,11,12.3,1042,0.11,2.6,0.5,586,3,4.27,37,43.235,5.6,1925,77.7,1200,2.8,2.7,0.02,Pinedale3,18,0,BL92-6-PN3,78,0.02,0.5,250.91,2.77,2.7,1.8,6.6
36Cl,21000,0.16,4.65,1,11,13,1042,0.05,2.6,0.25,553,3,3.87,19,43.236,5,1940,77.3,800,2.8,5,0.01,Pinedale3,18,0,BL92-7-PN3,93,0.04,0.5,250.91,4.28,5,1.08,6.6
36Cl,6200,6.97,43.1,1,11,12.7,1042,1.53,2.6,16.1,70,3,0.25,7,43.242,5.6,1895,49.1,800,2.8,2.7,0.23,Pinedale2,18,0,BL92-8-PN2,862,0.03,0.5,250.92,1.72,2.7,11.2,6.6
36Cl,17300,1.58,10.15,1,11,16.5,1042,0.77,2.6,5.48,256,3,1.73,23,43.243,11.4,1900,63.4,1700,2.8,7.4,0.08,Pinedale2,18,0,BL92-10-PN2,203,0.03,0.5,250.92,4.51,7.4,4.97,6.6
36Cl,27000,2.23,9.15,1,11,17.3,1042,0.47,2.6,4.71,428,3,1.5,113,43.243,12,1900,61.3,6100,2.8,2,0.08,Pinedale2,18,0,BL92-11-PN2,183,0.02,0.5,250.92,4.24,2,4.82,6.6
36Cl,22800,0.18,2.4,1,11,14.9,1042,0.07,2.6,0.96,640,3,0.74,40,43.243,9.5,1905,73.8,1600,2.8,0.5,0.02,Pinedale2,18,0,BL92-12-PN2,48,0.05,0.5,250.92,5.04,0.5,3.88,6.6
36Cl,19100,0.51,3.55,1,11,15.7,1042,0.35,2.6,1.66,468,3,0.69,32,43.243,9.5,1905,69.6,1500,2.8,0.5,0.04,Pinedale2,18,0,BL92-14-PN2,71,0.02,0.5,250.92,4.28,0.5,4.73,6.6
36Cl,16600,3.84,6.2,1,11,12.3,1042,0.8,2.6,6.82,275,3,0.31,22,43.245,7,1870,65.7,1500,2.8,4,0.12,Pinedale1,18,0,BL92-15-PN1,124,0.03,0.5,250.91,2.76,4,5.61,6.6
36Cl,14600,0.25,4.25,1,11,14.2,1042,0.2,2.6,0.85,311,3,1.46,26,43.245,9.5,1870,74.4,1400,2.8,0.5,0.02,Pinedale1,18,0,BL92-16-PN1,85,0.04,0.5,250.91,5.58,0.5,1.94,6.6
36Cl,18000,0.46,3,1,11,15.5,1042,0.2,2.6,1.91,438,3,0.56,40,43.244,9.5,1870,70.2,1800,2.8,0.5,0.03,Pinedale1,18,0,BL92-17-PN1,60,0.03,0.5,250.91,4.82,0.5,4.14,6.6
36Cl,119000,0.24,4.85,1,11,14.7,1042,0.18,2.6,1.66,2159,3,2.01,218,43.248,9.5,1875,71.8,14000,2.8,0.5,0.02,BullLake13,18,0,BL92-22-BLVI,97,0.02,0.5,250.92,4.86,0.5,2.67,6.6
36Cl,88700,0.33,3.25,1,11,16.2,1042,0.17,2.6,0.91,1778,3,0.89,110,43.247,9.5,1890,69.8,6300,2.8,0.5,0.02,BullLake13,18,0,BL92-24-BLVI,65,0.03,0.5,250.92,6.13,0.5,3.11,6.6
36Cl,92400,15.5,3.9,1,11,6.6,1042,0.52,2.6,13.7,2235,3,0.15,130,43.247,5.6,1890,50.4,6100,2.8,2.7,0.2,BullLake13,18,0,BL92-25-BLVI,78,0.02,0.5,250.92,0.32,2.7,10.3,6.6
36Cl,112000,0.47,2.75,1,11,15,1042,0.22,2.6,1.61,2776,3,1.42,86,43.246,9.5,1885,71.2,4000,2.8,0.5,0.03,BullLake13,18,0,BL92-26-BLVI,55,0.02,0.5,250.92,4.65,0.5,3.72,6.6
36Cl,105000,0.37,8.5,1,11,15.1,1042,0.19,2.6,1.57,1384,3,0.82,58,43.246,9.5,1865,73.5,5100,2.8,0.5,0.02,BullLake12,18,0,BL92-29-BLV,170,0.02,0.5,250.93,5.02,0.5,3.55,6.6
36Cl,91000,7.36,5.1,1,11,10.8,1042,1.33,2.6,20.7,1822,3,0.23,281,43.246,7,1865,46.9,16000,2.8,3.5,0.3,BullLake12,18,0,BL92-30-BLV,102,0.02,0.5,250.93,0.97,3.5,11.5,6.6
36Cl,69200,0.21,4.9,1,11,14.4,1042,0.1,2.6,0.59,1488,3,3.39,70,43.246,9,1865,72.9,3600,2.8,2,0.02,BullLake12,18,0,BL92-31-BLV,98,0.02,0.5,250.93,4.89,2,1.55,6.6
36Cl,74600,0.4,3.65,1,11,14.5,1042,0.11,2.6,0.87,1477,3,1.26,62,43.248,9,1865,74.4,3500,2.8,2,0.03,BullLake12,18,0,BL92-32-BLV,73,0.02,0.5,250.93,4.74,2,2.97,6.6
36Cl,99500,0.39,26.85,1,11,15.4,1042,0.26,2.6,1.66,1010,3,1.85,56,43.244,9.5,1880,71.2,6500,2.8,0.5,0.03,BullLake12,18,0,BL92-34-BLV,537,0.02,0.5,250.93,6.78,0.5,1.79,6.6
36Cl,126000,0.78,13,1,11,14.1,1042,0.29,2.6,2.44,1392,3,1.52,47,43.244,9,1880,71,5100,2.8,3,0.04,BullLake12,18,0,BL92-35-BLV,260,0.02,0.5,250.93,4.82,3,2.36,6.6
36Cl,93000,1.28,5.05,1,11,18.1,1042,0.46,2.6,3.74,1736,3,0.99,102,43.242,8,1895,64.1,6300,2.8,1.5,0.06,BullLake12,18,0,BL92-36-BLV,101,0.03,0.5,250.93,5.16,1.5,5.68,6.6
36Cl,88900,1,7.15,1,11,16.5,1042,0.28,2.6,3.06,1260,3,0.99,86,43.241,12,1905,67.9,7000,2.8,0.5,0.06,BullLake12,18,0,BL92-37-BLV,143,0.03,0.5,250.92,5.87,0.5,3.55,6.6
36Cl,56300,0.36,4.45,1,11,12.5,1042,0.16,2.6,1.12,2046,3,3.51,224,43.244,7,1865,74.7,2600,2.8,0.5,0.02,BullLake9,18,0,BL92-39-BLIV,89,0.04,0.5,250.93,3.2,0.5,1.86,6.6
36Cl,76700,2.27,4.8,1,11,21.5,1042,0.52,2.6,4.79,1644,3,1.92,84,43.245,12,1860,56.7,4400,2.8,2,0.08,BullLake9,18,0,BL92-40-BLIV,96,0.02,0.5,250.93,5.03,2,5.91,6.6
36Cl,122000,0.4,4.2,1,11,15.3,1042,0.26,2.6,1.76,2184,3,0.96,117,43.245,9.5,1850,71.2,7800,2.8,0.5,0.03,BullLake9,18,0,BL92-42-BLIV,84,0.02,0.5,250.93,4.79,0.5,4.15,6.6
