"nuclide","independent age uncertainty","elevation","id","density","independent age","default sea level pressure","thickness","longitude","latitude","shielding factor","cosmogenic inventory uncertainty","default lapse rate","default sea level temperature","cosmogenic inventory"
10Be,650.0,3180.0,W86-1,2.6,13000.0,1041.0,1e-05,240.7,37.982,1.0,70700.0,6.5,22.0,566000.0
10Be,650.0,3180.0,W86-3,2.6,13000.0,1041.0,1e-05,240.7,37.982,1.0,119000.0,6.5,22.0,633000.0
10Be,650.0,3540.0,W86-4,2.6,13000.0,1041.0,1e-05,241.23,37.421,1.0,81800.0,6.6,22.0,770000.0
10Be,650.0,3558.0,W86-5,2.6,13000.0,1041.0,1e-05,241.23,37.419,1.0,92700.0,6.6,22.0,794000.0
10Be,650.0,3558.0,W86-6,2.6,13000.0,1041.0,1e-05,241.23,37.419,1.0,103000.0,6.6,22.0,805000.0
10Be,650.0,3556.0,W86-8,2.6,13000.0,1041.0,1e-05,241.23,37.419,1.0,121000.0,6.6,22.0,791000.0
10Be,650.0,2430.0,W86-10,2.6,13000.0,1041.0,1e-05,239.8,38.87,1.0,64100.0,6.5,21.0,383000.0
10Be,650.0,2452.0,W86-11,2.6,13000.0,1041.0,1e-05,239.8,38.871,1.0,45300.0,6.5,21.0,385000.0
10Be,650.0,2452.0,W86-12,2.6,13000.0,1041.0,1e-05,239.8,38.871,1.0,116000.0,6.5,21.0,426000.0
10Be,650.0,2145.0,W86-13,2.6,13000.0,1041.0,1e-05,239.78,38.855,1.0,33600.0,6.5,21.0,337000.0
10Be,100.0,1680.0,KOE4,2.9,9800.0,1040.0,1e-05,10.9,47.12,1.0,13400.0,6.5,15.0,225000.0
10Be,100.0,1680.0,KOE5,2.9,9800.0,1040.0,1e-05,10.9,47.12,1.0,14600.0,6.5,15.0,211000.0
10Be,100.0,1680.0,KOE6,2.9,9800.0,1040.0,1e-05,10.9,47.12,1.0,14300.0,6.5,15.0,237000.0
10Be,100.0,1680.0,KOE20,2.9,9800.0,1040.0,1e-05,10.9,47.12,1.0,12400.0,6.5,15.0,196000.0
10Be,300.0,3245.0,138-I,2.6,13400.0,1043.0,1e-05,250.36,43.12,1.0,26400.0,6.6,19.0,661000.0
10Be,300.0,3245.0,139-I,2.6,13400.0,1043.0,1e-05,250.36,43.12,1.0,24000.0,6.6,19.0,623000.0
10Be,300.0,3245.0,333-I,2.6,13400.0,1043.0,1e-05,250.36,43.12,1.0,25200.0,6.6,19.0,629000.0
10Be,300.0,3245.0,334-I,2.6,13400.0,1043.0,1e-05,250.36,43.12,1.0,28200.0,6.6,19.0,706000.0
10Be,300.0,3245.0,335-I,2.6,13400.0,1043.0,1e-05,250.36,43.12,1.0,26000.0,6.6,19.0,649000.0
10Be,300.0,3245.0,336-I,2.6,13400.0,1043.0,1e-05,250.36,43.12,1.0,27700.0,6.6,19.0,692000.0
10Be,300.0,3245.0,337-I,2.6,13400.0,1043.0,1e-05,250.36,43.12,1.0,26400.0,6.6,19.0,659000.0
10Be,300.0,3245.0,338-I,2.6,13400.0,1043.0,1e-05,250.36,43.12,1.0,26400.0,6.6,19.0,659000.0
10Be,300.0,3245.0,339-I,2.6,13400.0,1043.0,1e-05,250.36,43.12,1.0,26300.0,6.6,19.0,658000.0
10Be,500.0,565.0,AT-10(3),1.1,11500.0,1025.0,1e-05,354.7,57.813,1.0,8700.0,6.2,10.0,104000.0
10Be,500.0,530.0,AT-11(2),1.1,11500.0,1025.0,1e-05,354.7,57.813,1.0,7370.0,6.2,10.0,92200.0
10Be,500.0,520.0,AT-13(2),1.1,11500.0,1025.0,1e-05,354.7,57.813,1.0,7590.0,6.2,10.0,96200.0
10Be,500.0,520.0,AT-13(3),1.1,11500.0,1025.0,1e-05,354.7,57.813,1.0,9520.0,6.2,10.0,92700.0
10Be,300.0,342.0,SPA-O-1,2.93,21900.0,1048.0,1e-05,74.533,40.95,1.0,11500.0,6.6,19.0,161000.0
10Be,300.0,342.0,SPA-O-2,2.93,21900.0,1048.0,1e-05,74.533,40.95,1.0,8640.0,6.6,19.0,135000.0
10Be,300.0,342.0,SPA-O-3,2.93,21900.0,1048.0,1e-05,74.533,40.95,1.0,16200.0,6.6,19.0,167000.0
10Be,300.0,342.0,SPA-O-4,2.93,21900.0,1048.0,1e-05,74.533,40.95,1.0,13100.0,6.6,19.0,163000.0
10Be,300.0,336.0,SPA-O-5,2.93,21900.0,1048.0,1e-05,74.517,40.967,1.0,6310.0,6.6,19.0,125000.0
10Be,300.0,336.0,SPA-O-6,2.93,21900.0,1048.0,1e-05,74.517,40.967,1.0,6420.0,6.6,19.0,137000.0
10Be,300.0,375.0,SWR-B-8,2.93,21900.0,1048.0,1e-05,74.6,41.0,1.0,6360.0,6.6,19.0,136000.0
10Be,300.0,253.0,SMH-B-9,2.93,21900.0,1048.0,1e-05,74.517,40.95,1.0,6460.0,6.6,19.0,113000.0
10Be,300.0,323.0,SAF-B-10,2.93,21900.0,1048.0,1e-05,74.75,40.917,1.0,8150.0,6.6,19.0,141000.0
10Be,300.0,323.0,SAF-B-11,2.93,21900.0,1048.0,1e-05,74.75,40.917,1.0,10400.0,6.6,19.0,145000.0
10Be,300.0,323.0,SAF-B-12,2.93,21900.0,1048.0,1e-05,74.75,40.917,1.0,11800.0,6.6,19.0,139000.0
10Be,300.0,299.0,SAF-O-13,2.93,21900.0,1048.0,1e-05,74.75,40.917,1.0,6840.0,6.6,19.0,124000.0
10Be,300.0,278.0,SAF-O-14,2.93,21900.0,1048.0,1e-05,74.75,40.917,1.0,14100.0,6.6,19.0,148000.0
