age,intensity
0,1
500,1.10713
1000,1.25928
1500,1.38669
2000,1.35824
2500,1.38916
3000,1.32855
3500,1.35576
4000,1.1195
5000,1.0762
6000,0.948788
7000,0.966106
8000,0.91044
9000,1.03414
10000,1.02301
11000,0.83622
12000,0.943394
13000,0.918778
14000,0.877833
15000,0.803093
16000,0.790661
17000,0.768382
18000,0.798664
19000,0.792578
20000,0.779614
21000,0.775495
22000,0.707001
23000,0.686393
24000,0.682509
25000,0.742429
26000,0.700247
27000,0.661665
28000,0.594087
29000,0.608882
30000,0.650544
31000,0.63664
32000,0.615599
33000,0.626225
34000,0.591007
35000,0.540673
36000,0.444062
37000,0.358808
38000,0.358944
39000,0.425099
40000,0.393815
41000,0.387197
42000,0.451237
43000,0.509438
44000,0.55313
45000,0.586665
46000,0.66023
47000,0.732162
48000,0.779292
49000,0.853996
50000,0.897798
51000,0.979206
52000,0.988756
53000,0.964733
54000,0.972365
55000,1.0008
56000,1.00935
57000,0.918308
58000,0.874604
59000,0.851917
60000,0.776126
61000,0.711294
62000,0.665067
63000,0.68972
64000,0.617714
65000,0.624344
66000,0.619446
67000,0.634166
68000,0.659414
69000,0.681989
70000,0.715797
71000,0.762172
72000,0.793568
73000,0.764696
74000,0.685255
75000,0.722538
76000,0.735502
77000,0.781136
78000,0.752796
79000,0.798986
80000,0.804305
81000,0.770844
82000,0.780863
83000,0.726188
84000,0.71336
85000,0.787506
86000,0.850049
87000,0.755901
88000,0.697514
89000,0.708622
90000,0.704911
91000,0.6964
92000,0.652177
93000,0.608436
94000,0.558956
95000,0.536047
96000,0.519483
97000,0.487271
98000,0.444668
99000,0.424864
100000,0.439671
101000,0.465215
102000,0.484265
103000,0.504626
104000,0.518629
105000,0.48925
106000,0.512754
107000,0.510688
108000,0.514745
109000,0.507719
110000,0.503154
111000,0.518469
112000,0.498206
113000,0.491898
114000,0.500742
115000,0.51623
116000,0.509043
117000,0.492627
118000,0.509649
119000,0.492875
120000,0.511071
121000,0.530294
122000,0.542071
123000,0.55736
124000,0.597773
125000,0.629354
126000,0.646722
127000,0.662246
128000,0.633882
129000,0.656593
130000,0.648392
131000,0.614758
132000,0.635811
133000,0.644545
134000,0.637803
135000,0.64619
136000,0.720361
137000,0.714807
138000,0.786566
139000,0.818036
140000,0.803699
141000,0.786145
142000,0.821338
143000,0.841799
144000,0.834772
145000,0.866044
146000,0.925359
147000,0.890784
148000,0.828946
149000,0.811529
150000,0.773986
151000,0.72996
152000,0.728699
153000,0.754639
154000,0.730987
155000,0.688991
156000,0.776905
157000,0.860638
158000,0.899072
159000,0.886616
160000,0.795485
161000,0.769099
162000,0.731049
163000,0.724344
164000,0.79139
165000,0.853538
166000,0.863916
167000,0.795782
168000,0.821128
169000,0.783758
170000,0.752882
171000,0.760762
172000,0.721549
173000,0.680529
174000,0.7036
175000,0.740265
176000,0.746277
177000,0.763422
178000,0.753043
179000,0.699617
180000,0.649753
181000,0.605641
182000,0.549802
183000,0.464003
184000,0.393184
185000,0.408845
186000,0.37662
187000,0.330332
188000,0.309599
189000,0.330146
190000,0.32719
191000,0.289102
192000,0.306853
193000,0.407162
194000,0.460737
195000,0.532484
196000,0.568011
197000,0.595621
198000,0.618803
199000,0.604812
200000,0.64353
201000,0.699592
202000,0.736888
203000,0.744112
204000,0.705344
205000,0.738533
206000,0.733276
207000,0.705542
208000,0.742467
209000,0.749963
210000,0.741069
211000,0.711937
212000,0.667578
213000,0.647699
214000,0.682905
215000,0.662902
216000,0.647922
217000,0.670238
218000,0.691465
219000,0.655863
220000,0.705072
221000,0.695027
222000,0.774938
223000,0.745262
224000,0.744458
225000,0.786851
226000,0.785106
227000,0.732768
228000,0.80976
229000,0.93455
230000,0.951002
231000,0.97594
232000,0.976831
233000,0.902103
234000,0.859908
235000,0.82067
236000,0.776806
237000,0.818246
238000,0.822068
239000,0.816885
240000,0.800668
241000,0.756569
242000,0.725779
243000,0.750223
244000,0.739287
245000,0.664498
246000,0.675755
247000,0.700148
248000,0.726126
249000,0.798194
250000,0.859476
251000,0.883808
252000,0.895918
253000,0.857583
254000,0.840784
255000,0.799431
256000,0.770139
257000,0.75402
258000,0.785032
259000,0.755987
260000,0.661405
261000,0.630863
262000,0.626645
263000,0.606482
264000,0.558177
265000,0.546054
266000,0.526262
267000,0.530195
268000,0.562741
269000,0.6226
270000,0.588286
271000,0.579429
272000,0.623021
273000,0.621611
274000,0.616106
275000,0.59478
276000,0.637828
277000,0.595423
278000,0.600841
279000,0.632323
280000,0.665327
281000,0.702387
282000,0.685589
283000,0.658486
284000,0.659315
285000,0.612011
286000,0.61623
287000,0.613855
288000,0.593234
289000,0.56305
290000,0.56618
291000,0.576175
292000,0.587432
293000,0.599357
294000,0.616737
295000,0.660638
296000,0.735193
297000,0.734055
298000,0.738372
299000,0.784389
300000,0.843592
301000,0.880059
302000,0.786937
303000,0.748342
304000,0.751051
305000,0.733214
306000,0.681037
307000,0.710292
308000,0.657459
309000,0.671326
310000,0.673751
311000,0.720881
312000,0.67093
313000,0.694236
314000,0.660552
315000,0.63737
316000,0.647167
317000,0.628154
318000,0.62046
319000,0.642912
320000,0.683127
321000,0.667318
322000,0.683671
323000,0.67046
324000,0.71952
325000,0.661331
326000,0.67234
327000,0.668667
328000,0.694062
329000,0.68314
330000,0.756828
331000,0.812531
332000,0.757966
333000,0.805727
334000,0.797885
335000,0.7476
336000,0.761034
337000,0.77093
338000,0.83784
339000,0.811381
340000,0.731259
341000,0.741526
342000,0.759154
343000,0.804515
344000,0.809278
345000,0.791378
346000,0.750087
347000,0.796623
348000,0.824951
349000,0.879602
350000,0.871165
351000,0.953686
352000,0.921202
353000,0.975705
354000,1.03516
355000,1.06252
356000,0.990487
357000,0.995633
358000,1.01698
359000,1.04174
360000,1.03837
361000,1.05678
362000,1.04341
363000,1.07005
364000,1.01277
365000,1.01167
366000,0.973355
367000,0.975755
368000,0.950383
369000,0.963743
370000,0.958102
371000,0.944854
372000,0.922476
373000,0.901113
374000,0.872476
375000,0.918506
376000,0.866019
377000,0.833189
378000,0.834921
