"nuclide","elevation","id","density","default sea level pressure","thickness","published age uncertainty","latitude","shielding factor","cosmogenic inventory uncertainty","longitude","published age","default lapse rate","landform group","default sea level temperature","cosmogenic inventory"
10Be,190.0,Y-12,2.6,1039.0,1e-05,163000.0,-33.0,1.0,110000.0,135.0,519000.0,6.3,Yarwondutta Top,20.0,3570000.0
10Be,190.0,Y-10,2.6,1039.0,1e-05,168000.0,-33.0,1.0,120000.0,135.0,529000.0,6.3,Yarwondutta Just Below Top,20.0,3640000.0
10Be,210.0,T-1,2.6,1039.0,1e-05,211000.0,-33.0,1.0,180000.0,135.0,605000.0,6.3,Turtle Rock Top,20.0,4240000.0
10Be,200.0,LW-2,2.6,1039.0,1e-05,190000.0,-33.0,1.0,150000.0,135.0,570000.0,6.3,Little Wudinna Top,20.0,3970000.0
10Be,150.0,P-1,2.6,1039.0,1e-05,223000.0,-33.0,1.0,140000.0,135.0,628000.0,6.3,Pildappa Rock Top,20.0,4430000.0
10Be,260.0,MW-10,2.6,1039.0,1e-05,190000.0,-33.0,1.0,130000.0,135.0,571000.0,6.3,Mt. Wudinna Top,20.0,3970000.0
10Be,250.0,MW-9,2.6,1039.0,1e-05,84000.0,-33.0,1.0,90000.0,135.0,322000.0,6.3,Mt. Wudinna Upper Side,20.0,2110000.0
10Be,190.0,Y-7,2.6,1039.0,1e-05,74000.0,-33.0,1.0,80000.0,135.0,289000.0,6.3,Yarwondutta Middle Flare,20.0,1880000.0
10Be,190.0,Y-6,2.6,1039.0,1e-05,43000.0,-33.0,1.0,60000.0,135.0,182000.0,6.3,Yarwondutta Middle Flare,20.0,1160000.0
10Be,190.0,Y-5,2.6,1039.0,1e-05,26000.0,-33.0,1.0,50000.0,135.0,114000.0,6.3,Yarwondutta Low Flare,20.0,710000.0
10Be,555.0,LUI-7,2.6,1040.0,1e-05,52000.0,31.0,1.0,60000.0,261.4,217000.0,6.3,Enchanted Rock Top,24.0,1390000.0
10Be,1500.0,AHI-20,2.6,1041.0,1e-05,75000.0,37.0,1.0,50000.0,242.0,295000.0,6.6,Alabama Hills Top,22.0,1920000.0
