"nuclide","MgO","Cl uncertainty","shielding factor","Th","Al2O3","default sea level pressure","TiO2","density","Fe2O3","clRatio","thickness","K2O","clRatio uncertainty","latitude","B","elevation","SiO2","U","Sm","MnO","default sea level temperature","CO2","id","Cl","P2O5","volumetric water","longitude","Na2O","Gd","CaO","default lapse rate"
36Cl,2.33,2.4,1.0,0.0,15.8,1033.8,0.54,2.6,5.17,2771.0,1.0,2.34,95.0,37.319,0.0,1760.0,64.58,0.0,0.0,0.1,23.31,0.0,BPCR90-34-Pti1,48.0,0.23,0.005,241.48,3.8,0.0,4.24,6.93
36Cl,0.69,2.3,0.99,0.0,15.1,1033.8,0.2,1.6,1.71,1149.0,1.0,3.65,100.0,37.319,0.0,1630.0,70.5,0.0,0.0,0.04,23.31,0.0,BCS92-2CR,46.0,0.02,0.005,241.48,3.61,0.0,2.9,6.93
36Cl,0.48,2.3,0.99,0.0,14.8,1033.8,0.17,1.6,1.44,1128.0,1.0,3.58,68.0,37.319,0.0,1630.0,72.2,0.0,0.0,0.03,23.31,0.0,BCS92-3CR,45.0,0.02,0.005,241.48,3.66,0.0,2.75,6.93
36Cl,0.71,2.3,0.99,0.0,13.9,1033.8,0.22,1.6,1.89,1044.0,1.0,3.67,45.0,37.319,0.0,1630.0,71.7,0.0,0.0,0.04,23.31,0.0,BCS92-4CR,46.0,0.03,0.005,241.48,3.51,0.0,2.45,6.93
36Cl,0.32,0.9,0.99,6.0,11.76,1033.8,0.08,2.65,0.53,18643.0,3.0,4.33,967.0,37.315,6.6,2350.0,77.26,4.0,3.9,0.02,23.31,0.0,BCR89-1,18.0,0.03,0.005,241.48,3.51,3.9,0.52,6.93
36Cl,0.24,1.2,0.98,6.0,12.32,1033.8,0.09,2.7,0.7,11195.0,3.0,4.54,653.0,37.315,6.6,1970.0,76.03,4.0,3.9,0.03,23.31,0.0,BPCR90-27,24.0,0.03,0.005,241.48,3.41,3.9,0.56,6.93
36Cl,0.52,0.6,0.98,6.0,12.06,1033.8,0.09,2.7,0.67,15978.0,3.0,4.42,158.0,37.315,6.6,1980.0,76.14,4.0,3.9,0.03,23.31,0.0,BPCR90-28,12.0,0.02,0.005,241.48,3.52,3.9,0.65,6.93
36Cl,0.44,0.8,0.98,6.0,11.78,1033.8,0.07,2.7,0.7,13991.0,3.0,4.6,785.0,37.315,6.6,2010.0,77.53,4.0,3.9,0.03,23.31,0.0,BPCR90-29,15.0,0.03,0.005,241.48,3.07,3.9,0.55,6.93
36Cl,0.53,0.7,0.98,6.0,13.79,1033.8,0.23,2.75,1.68,16410.0,3.0,4.44,622.0,37.315,6.6,2030.0,73.43,4.0,3.9,0.03,23.31,0.0,BPCR90-30,13.0,0.1,0.005,241.48,3.29,3.9,1.77,6.93
36Cl,1.62,1.1,0.98,6.0,13.78,1033.8,0.29,2.75,2.64,8452.0,3.0,3.94,464.0,37.315,6.6,2030.0,71.21,4.0,3.9,0.06,23.31,0.0,BPCR90-31,22.0,0.13,0.005,241.48,3.03,3.9,2.53,6.93
36Cl,3.1,3.4,0.98,6.0,17.19,1033.8,0.75,2.85,6.16,3875.0,3.0,2.26,219.0,37.315,6.6,2030.0,61.71,4.0,3.9,0.11,23.31,0.0,BPCR90-32,67.0,0.28,0.005,241.48,4.05,3.9,5.11,6.93
36Cl,3.59,4.8,0.98,6.0,21.97,1033.8,0.82,2.85,6.85,2101.0,3.0,2.04,116.0,37.315,7.2,1750.0,58.64,4.0,4.3,0.1,23.31,0.0,BPCR90-5,96.0,0.23,0.005,241.48,4.06,4.3,5.65,6.93
36Cl,0.38,0.4,0.98,6.0,11.64,1033.8,0.07,2.7,0.76,14106.0,3.0,4.48,660.0,37.315,6.6,1750.0,76.53,4.0,3.9,0.04,23.31,0.0,BPCR90-6,7.0,0.02,0.005,241.48,3.09,3.9,0.43,6.93
36Cl,1.82,2.4,0.98,6.0,15.35,1033.8,0.4,2.8,3.58,3155.0,3.0,3.62,132.0,37.315,6.6,1750.0,67.52,4.0,3.9,0.07,23.31,0.0,BPCR90-7,48.0,0.17,0.005,241.48,3.13,3.9,3.6,6.93
36Cl,0.61,0.8,0.98,6.0,10.61,1033.8,0.07,2.7,0.33,5306.0,3.0,4.38,370.0,37.315,6.6,1750.0,81.05,4.0,3.9,0.01,23.31,0.0,BPCR90-8,15.0,0.04,0.005,241.48,2.52,3.9,0.52,6.93
36Cl,2.97,8.6,0.98,6.0,16.58,1033.8,0.64,2.75,5.99,1633.0,3.0,2.17,117.0,37.315,9.8,1770.0,60.87,4.0,4.5,0.1,23.31,0.0,BPCR90-9,171.0,0.24,0.005,241.48,3.63,4.5,5.44,6.93
36Cl,0.52,0.5,0.99,6.0,12.2,1033.8,0.09,2.7,0.65,7050.0,3.0,3.32,357.0,37.315,6.6,1750.0,78.42,4.0,3.9,0.02,23.31,0.0,BPCR90-12,9.0,0.03,0.005,241.48,4.23,3.9,0.64,6.93
36Cl,2.29,4.0,1.0,6.0,16.02,1033.8,0.48,2.8,4.61,2831.0,3.0,3.37,99.0,37.315,6.6,1790.0,65.39,4.0,3.9,0.08,23.31,0.0,BPCR90-1,79.0,0.14,0.005,241.48,3.17,3.9,4.26,6.93
36Cl,2.3,3.2,1.0,6.0,16.07,1033.8,0.63,2.8,5.45,2829.0,3.0,2.1,140.0,37.315,6.6,1790.0,61.55,4.0,3.9,0.08,23.31,0.0,BPCR90-2,63.0,0.25,0.005,241.48,3.81,3.9,4.71,6.93
36Cl,2.77,3.9,1.0,6.0,21.45,1033.8,0.46,2.8,4.51,2241.0,3.0,3.16,95.0,37.315,6.6,1810.0,67.11,4.0,3.9,0.08,23.31,0.0,BPCR90-3,78.0,0.1,0.005,241.48,3.29,3.9,4.22,6.93
36Cl,0.51,1.0,1.0,6.0,12.17,1033.8,0.007,2.7,0.71,7983.0,3.0,4.32,458.0,37.315,6.6,1810.0,77.23,4.0,3.9,0.04,23.31,0.0,BPCR90-4,19.0,0.03,0.005,241.48,3.65,3.9,0.57,6.93
36Cl,12.49,3.4,1.0,6.0,12.72,1033.8,1.79,3.0,14.05,3183.0,3.0,2.29,262.0,37.315,6.6,1850.0,48.0,4.0,3.9,0.18,23.31,0.0,BPCR90-10,68.0,0.48,0.005,241.48,2.2,3.9,8.7,6.93
36Cl,1.97,3.6,1.0,6.0,15.31,1033.8,0.49,2.75,4.74,3079.0,3.0,3.21,432.0,37.315,6.6,1840.0,66.04,4.0,3.9,0.07,23.31,0.0,BPCR90-11,71.0,0.16,0.005,241.48,3.1,3.9,4.09,6.93
36Cl,2.2,10.3,1.0,4.4,16.2,1033.8,0.496,2.75,5.25,1466.0,4.0,2.24,44.0,37.3,7.0,2005.0,62.8,4.1,3.5,0.1,23.31,0.0,BCV-1,205.0,0.22,0.016,241.5,3.25,3.5,5.0,6.93
36Cl,1.05,1.5,1.0,6.0,12.49,1033.8,0.09,2.7,0.75,4816.0,3.0,4.63,257.0,37.315,6.6,1610.0,76.77,4.0,3.9,0.05,23.31,0.0,BPCR90-58,29.0,0.04,0.005,241.48,3.39,3.9,0.67,6.93
36Cl,2.12,4.1,1.0,6.0,15.59,1033.8,0.42,2.8,4.43,2399.0,3.0,3.02,106.0,37.315,6.6,1610.0,66.16,4.0,3.9,0.07,23.31,0.0,BPCR90-59,82.0,0.11,0.005,241.48,3.29,3.9,4.19,6.93
36Cl,0.33,1.3,1.0,6.0,11.37,1033.8,0.06,2.7,0.38,4389.0,3.0,3.41,271.0,37.315,6.6,1610.0,76.57,4.0,3.9,0.02,23.31,0.0,BPCR90-60,26.0,0.02,0.005,241.48,3.77,3.9,0.56,6.93
36Cl,2.85,3.9,1.0,6.0,16.2,1033.8,0.67,2.85,5.56,1726.0,3.0,2.55,102.0,37.315,6.6,1620.0,62.59,4.0,3.9,0.08,23.31,0.0,BPCR90-61,77.0,0.23,0.005,241.48,3.84,3.9,4.82,6.93
36Cl,2.34,6.9,1.0,6.0,16.08,1033.8,0.51,2.8,4.84,1538.0,3.0,3.06,55.0,37.315,6.6,1620.0,64.54,4.0,3.9,0.09,23.31,0.0,BPCR90-62,138.0,0.15,0.005,241.48,3.37,3.9,4.58,6.93
36Cl,0.27,1.0,0.99,6.0,14.3,1033.8,0.19,2.7,1.43,7284.0,3.0,4.09,651.0,37.315,6.6,1510.0,74.3,4.0,3.9,0.05,23.31,0.0,BPCR91-10,19.0,0.05,0.005,241.48,3.99,3.9,1.51,6.93
36Cl,3.86,14.7,0.98,6.0,17.82,1033.8,0.75,2.8,7.82,1302.0,3.0,2.5,60.0,37.315,7.2,1710.0,60.51,4.0,4.3,0.11,23.31,0.0,BPCR90-53,294.0,0.31,0.005,241.48,3.11,4.3,5.63,6.93
36Cl,2.33,3.4,0.98,6.0,16.59,1033.8,0.66,2.75,5.5,1383.0,3.0,2.43,84.0,37.315,7.2,1690.0,61.96,4.0,4.3,0.09,23.31,0.0,BPCR90-54,67.0,0.19,0.005,241.48,3.88,4.3,4.75,6.93
36Cl,0.81,2.5,0.98,6.0,11.83,1033.8,0.13,2.7,0.71,2367.0,3.0,4.74,141.0,37.315,6.6,1690.0,77.36,4.0,3.9,0.03,23.31,0.0,BPCR90-55,50.0,0.03,0.005,241.48,3.17,3.9,0.67,6.93
36Cl,0.58,1.9,0.98,6.0,13.46,1033.8,0.2,2.7,1.42,4953.0,3.0,4.9,155.0,37.315,6.6,1690.0,75.74,4.0,3.9,0.04,23.31,0.0,BPCR90-56,38.0,0.06,0.005,241.48,3.1,3.9,1.44,6.93
36Cl,0.32,1.2,0.98,6.0,13.8,1033.8,0.24,2.7,1.45,6143.0,3.0,3.98,182.0,37.315,6.6,1690.0,74.2,4.0,3.9,0.05,23.31,0.0,BPCR90-57,24.0,0.16,0.005,241.48,4.13,3.9,1.07,6.93
36Cl,2.68,3.2,0.99,6.0,18.41,1033.8,0.51,2.75,4.51,2889.0,3.0,3.53,409.0,37.315,6.6,1620.0,67.51,4.0,3.9,0.08,23.31,0.0,BPCR90-38,64.0,0.24,0.005,241.48,3.12,3.9,3.99,6.93
36Cl,0.39,0.7,0.99,6.0,11.91,1033.8,0.18,2.7,0.62,7498.0,3.0,4.95,438.0,37.315,6.6,1640.0,77.26,4.0,3.9,0.05,23.31,0.0,BPCR90-39,14.0,0.04,0.005,241.48,2.93,3.9,0.69,6.93
36Cl,0.32,1.3,0.99,6.0,11.64,1033.8,0.08,2.7,0.54,5120.0,3.0,4.48,203.0,37.315,6.6,1650.0,78.18,4.0,3.9,0.04,23.31,0.0,BPCR90-40,26.0,0.04,0.005,241.48,3.24,3.9,0.58,6.93
36Cl,0.71,6.6,0.99,6.0,13.74,1033.8,0.35,2.7,2.06,1319.0,3.0,4.01,107.0,37.315,6.6,1660.0,73.04,4.0,3.9,0.06,23.31,0.0,BPCR90-41,131.0,0.07,0.005,241.48,3.61,3.9,1.48,6.93
36Cl,0.42,8.5,0.99,6.0,13.2,1033.8,0.21,2.7,1.59,1273.0,3.0,4.18,96.0,37.315,6.6,1660.0,71.22,4.0,3.9,0.03,23.31,0.0,BPCR90-42,170.0,0.05,0.005,241.48,3.42,3.9,1.38,6.93
36Cl,2.0,4.0,0.99,6.0,15.44,1033.8,0.45,2.8,4.81,2569.0,3.0,3.54,78.0,37.315,6.6,1710.0,66.49,4.0,3.9,0.08,23.31,0.0,BPCR90-43,79.0,0.15,0.005,241.48,3.22,3.9,3.98,6.93
36Cl,0.44,3.9,0.99,6.0,13.19,1033.8,0.2,2.7,1.59,1458.0,3.0,4.18,113.0,37.315,6.6,1700.0,71.24,4.0,3.9,0.03,23.31,0.0,BPCR90-44,78.0,0.04,0.005,241.48,3.42,3.9,1.38,6.93
36Cl,0.87,1.8,0.99,6.0,12.95,1033.8,0.2,2.7,1.3,3632.0,3.0,4.72,104.0,37.315,6.6,1630.0,75.64,4.0,3.9,0.09,23.31,0.0,BPCR90-45,36.0,0.05,0.005,241.48,2.91,3.9,1.32,6.93
36Cl,1.63,3.0,0.99,6.0,17.03,1033.8,0.2,2.7,1.49,2668.0,3.0,5.0,89.0,37.315,6.6,1630.0,74.1,4.0,3.9,0.06,23.31,0.0,BPCR90-46,60.0,0.06,0.005,241.48,3.59,3.9,1.25,6.93
36Cl,0.83,6.6,0.99,6.0,14.33,1033.8,0.28,2.75,1.89,824.0,3.0,4.33,45.0,37.315,9.5,1630.0,77.38,4.0,4.8,0.06,23.31,0.0,BPCR90-47,132.0,0.06,0.005,241.48,3.57,4.8,1.65,6.93
36Cl,0.84,7.1,0.99,6.0,13.94,1033.8,0.26,2.75,1.78,1464.0,3.0,4.76,74.0,37.315,6.6,1630.0,72.55,4.0,3.9,0.06,23.31,0.0,BPCR90-63,141.0,0.07,0.005,241.48,3.18,3.9,1.63,6.93
36Cl,0.76,7.7,0.99,6.0,14.7,1033.8,0.4,2.75,2.95,1306.0,3.0,4.11,67.0,37.315,6.6,1620.0,70.2,4.0,3.9,0.1,23.31,0.0,BPCR90-64,154.0,0.11,0.005,241.48,3.79,3.9,2.07,6.93
36Cl,0.58,5.4,0.99,6.0,15.1,1033.8,0.31,2.75,2.48,1482.0,3.0,4.04,73.0,37.315,6.6,1630.0,71.0,4.0,3.9,0.07,23.31,0.0,BPCR90-65,108.0,2.03,0.005,241.48,3.88,3.9,2.03,6.93
36Cl,0.52,1.0,0.99,6.0,15.0,1033.8,0.3,2.75,2.41,4670.0,3.0,3.73,164.0,37.315,6.6,1630.0,71.4,4.0,3.9,0.04,23.31,0.0,BPCR90-66,20.0,0.07,0.005,241.48,3.9,3.9,2.36,6.93
36Cl,0.67,5.9,0.99,6.0,14.2,1033.8,0.32,2.75,2.63,1461.0,3.0,4.03,44.0,37.315,6.6,1640.0,72.3,4.0,3.9,0.07,23.31,0.0,BPCR90-67,118.0,0.2,0.005,241.48,3.66,3.9,1.88,6.93
36Cl,0.47,1.6,0.99,6.0,13.5,1033.8,0.29,2.75,2.21,3675.0,3.0,3.59,275.0,37.315,6.6,1630.0,73.7,4.0,3.9,0.09,23.31,0.0,BPCR91B-5,32.0,0.07,0.005,241.48,4.03,3.9,1.51,6.93
36Cl,0.33,5.5,0.99,6.0,14.6,1033.8,0.2,2.65,1.4,773.0,3.0,3.94,58.0,37.315,8.1,1630.0,73.2,4.0,4.6,0.03,23.31,0.0,BPCR91B-8,109.0,0.03,0.005,241.48,4.18,4.6,1.31,6.93
36Cl,2.04,6.6,0.99,6.0,18.4,1033.8,1.14,2.9,7.93,1010.0,3.0,2.3,76.0,37.315,5.8,1630.0,57.7,4.0,8.8,0.37,23.31,0.0,BPCR91B-9,131.0,0.18,0.005,241.48,5.36,8.8,4.07,6.93
