"nuclide","MgO","Cl uncertainty","shielding factor","Th","Al2O3","default sea level pressure","TiO2","density","Fe2O3","clRatio","thickness","K2O","clRatio uncertainty","latitude","B","elevation","SiO2","U","Sm","MnO","default sea level temperature","CO2","id","Cl","P2O5","volumetric water","longitude","Na2O","Gd","CaO","default lapse rate"
36Cl,0.66,9.3,1.0,23.0,15.0,1034.0,0.593,2.65,2.6,348.0,2.0,5.37,13.0,-18.907,32.5,3785.0,70.0,7.2,4.0,0.02,20.95,0.0,CH96-1-F3,506.2,0.13,0.005,293.25,2.71,4.0,1.63,4.3
36Cl,0.8,17.5,1.0,29.2,15.1,1034.0,0.571,2.65,2.6,258.0,2.5,4.99,14.0,-18.91,28.5,3788.0,69.2,7.7,8.5,0.02,20.95,0.0,CH96-2-F3,619.4,0.14,0.005,293.25,2.79,4.0,1.96,4.3
36Cl,0.66,20.1,1.0,28.1,14.8,1034.0,0.607,2.65,2.48,288.0,2.0,5.23,11.0,-18.912,33.6,3790.0,70.4,7.2,8.3,0.01,20.95,0.0,CH96-3-F3,477.8,0.27,0.005,293.25,2.73,3.4,1.53,4.3
36Cl,0.83,10.6,1.0,27.7,14.8,1034.0,0.582,2.65,2.55,283.0,2.5,4.88,12.0,-18.916,28.3,3840.0,70.4,6.5,7.9,0.03,20.95,0.0,CH96-4-F3,597.8,0.16,0.005,293.25,2.64,4.2,1.76,4.3
36Cl,0.64,23.5,0.999,20.7,15.0,1034.0,0.589,2.65,2.47,4010.0,2.0,5.12,130.0,-18.915,37.0,3820.0,70.4,6.3,2.0,0.04,20.95,0.0,CH96-5-F2,450.3,0.26,0.005,293.25,2.66,2.0,1.52,4.3
36Cl,0.58,18.7,0.993,20.7,14.6,1034.0,0.62,2.65,2.35,4030.0,2.0,5.62,90.0,-18.915,32.0,3815.0,69.8,6.3,4.0,0.02,20.95,0.0,CH96-6-F2,379.2,0.16,0.005,293.24,2.39,4.0,1.13,4.3
36Cl,0.56,6.4,0.987,20.7,14.6,1034.0,0.555,2.65,2.31,2960.0,2.0,5.44,80.0,-18.916,32.0,3832.0,71.7,6.3,2.0,0.02,20.95,0.0,CH96-7-F2,459.0,0.18,0.005,293.25,2.64,2.0,1.28,4.3
36Cl,0.85,28.3,1.0,26.0,15.0,1034.0,0.603,2.65,2.57,264.0,2.0,4.88,9.0,-18.916,28.0,3890.0,69.6,6.8,7.7,0.03,20.95,0.0,CH96-8-F3,581.8,0.14,0.005,293.25,2.68,3.2,1.93,4.3
36Cl,0.74,46.5,0.987,23.0,15.0,1034.0,0.533,2.65,2.29,278.0,2.0,4.98,13.0,-18.916,32.1,3890.0,69.8,7.0,6.7,0.02,20.95,0.0,CH96-9-F3,607.6,0.14,0.005,293.25,2.75,4.9,1.98,4.3
36Cl,0.78,26.7,1.0,25.5,14.5,1034.0,0.574,2.65,2.46,255.0,2.0,4.95,10.0,-18.915,29.7,3908.0,69.8,8.1,7.8,0.02,20.95,0.0,CH96-10-F3,561.3,0.15,0.005,293.26,2.59,2.6,1.84,4.3
36Cl,0.69,22.5,0.993,19.3,14.4,1034.0,0.508,2.65,2.4,265.0,2.0,4.66,12.0,-18.915,31.0,3908.0,70.8,7.7,4.0,0.02,20.95,0.0,CH96-11-F3,476.4,0.13,0.005,293.26,2.57,4.0,2.01,4.3
36Cl,0.58,8.9,1.0,19.1,14.8,1034.0,0.568,2.65,2.24,481.0,2.5,5.24,23.0,-18.915,36.0,3920.0,71.3,5.4,4.0,0.01,20.95,0.0,CH96-12-F3,166.9,0.12,0.005,293.26,2.71,4.0,1.44,4.3
36Cl,0.57,5.9,1.0,20.7,14.5,1034.0,0.585,2.65,2.49,673.0,2.0,5.02,28.0,-18.915,27.9,3920.0,71.3,6.3,3.9,0.01,20.95,0.0,CH96-13-F3,210.7,0.15,0.005,293.26,2.54,3.9,1.48,4.3
36Cl,0.62,12.2,1.0,25.1,14.8,1034.0,0.6,2.65,2.57,349.0,3.5,5.31,16.0,-18.913,27.9,3905.0,70.0,7.5,3.9,0.01,20.95,0.0,CH96-14-F3,508.1,0.22,0.005,293.26,2.67,3.9,1.64,4.3
36Cl,0.82,24.3,1.0,23.1,14.7,1034.0,0.593,2.65,2.51,245.0,2.0,5.1,11.0,-18.915,30.7,3860.0,69.7,7.6,7.7,0.02,20.95,0.0,CH96-15-F3,566.7,0.2,0.005,293.25,2.62,4.6,1.87,4.3
36Cl,0.58,6.6,0.976,22.8,14.6,1034.0,0.556,2.65,2.62,380.0,2.0,4.95,16.0,-18.913,28.5,3860.0,71.1,6.7,7.2,0.02,20.95,0.0,CH96-16-F3,222.7,0.17,0.005,293.25,2.61,4.2,1.54,4.3
36Cl,0.55,7.1,0.937,24.2,14.7,1034.0,0.567,2.65,2.67,567.0,1.0,5.1,18.0,-18.953,24.0,4625.0,71.4,5.8,7.3,0.01,20.95,0.0,CH96-17-M7,141.8,0.13,0.005,293.29,2.67,4.2,1.63,4.3
36Cl,2.22,4.4,0.978,24.9,15.4,1034.0,0.868,2.65,4.85,688.0,0.75,3.89,25.0,-18.95,27.9,4620.0,65.0,6.2,3.9,0.11,20.95,0.0,CH96-18-M6,163.2,0.08,0.005,293.29,2.03,3.9,2.87,4.3
36Cl,0.73,35.3,0.978,20.0,14.6,1034.0,0.544,2.65,2.32,317.0,2.0,4.38,12.0,-18.95,30.7,4620.0,69.2,5.6,6.7,0.02,20.95,0.0,CH96-19-M6,554.0,0.12,0.005,293.29,2.68,4.6,2.47,4.3
36Cl,0.88,15.2,0.978,24.6,14.9,1034.0,0.613,2.65,2.74,316.0,2.0,4.34,14.0,-18.95,31.1,4620.0,70.4,4.6,6.8,0.02,20.95,0.0,CH96-20-M6,580.4,0.11,0.005,293.29,2.63,3.6,2.11,4.3
36Cl,0.78,42.1,0.983,20.7,14.8,1034.0,0.693,2.65,2.74,664.0,2.5,5.24,22.0,-18.948,27.9,4520.0,70.7,6.3,3.9,0.01,20.95,0.0,CH96-21-M5,396.4,0.14,0.005,293.29,2.6,3.9,1.31,4.3
36Cl,0.78,30.6,0.994,20.0,15.1,1034.0,0.552,2.65,2.48,341.0,2.0,4.82,14.0,-18.943,28.8,4480.0,70.0,6.2,3.3,0.03,20.95,0.0,CH96-22-M4,627.0,0.14,0.005,293.28,2.76,3.3,1.97,4.3
36Cl,0.59,13.1,0.994,26.6,14.7,1034.0,0.64,2.65,2.5,375.0,2.0,5.2,13.0,-18.943,32.9,4480.0,70.4,5.6,3.9,0.01,20.95,0.0,CH96-23-M4,319.7,0.13,0.005,293.28,2.59,3.9,1.45,4.3
36Cl,0.63,8.9,0.994,24.2,14.6,1034.0,0.57,2.65,2.44,648.0,2.0,5.36,27.0,-18.943,24.0,4480.0,69.6,6.2,4.0,0.01,20.95,0.0,CH96-24-M4,211.3,0.12,0.005,293.28,2.64,4.0,1.65,4.3
36Cl,0.66,11.2,0.994,39.7,14.9,1034.0,0.594,2.65,2.46,433.0,2.0,5.05,16.0,-18.943,33.0,4480.0,70.7,8.3,4.0,0.02,20.95,0.0,CH96-25-M4,274.3,0.15,0.005,293.28,2.69,4.0,1.69,4.3
36Cl,0.61,12.2,0.994,23.1,15.0,1034.0,0.59,2.65,2.48,348.0,2.0,5.13,17.0,-18.943,30.0,4480.0,70.7,6.2,6.7,0.02,20.95,0.0,CH96-26-M4,278.6,0.15,0.005,293.28,2.62,3.0,1.54,4.3
36Cl,0.6,10.8,0.994,30.4,14.8,1034.0,0.584,2.65,2.59,391.0,3.0,5.27,17.0,-18.943,27.2,4480.0,70.4,5.5,3.9,0.02,20.95,0.0,CH96-27-M4,293.7,0.15,0.005,293.28,2.49,3.9,1.46,4.3
36Cl,0.73,12.8,0.981,39.1,14.7,1034.0,0.533,2.65,2.41,377.0,2.0,4.5,17.0,-18.942,25.9,4400.0,70.0,6.7,4.3,0.02,20.95,0.0,CH96-28-M4a,432.1,0.12,0.005,293.28,2.6,4.3,2.11,4.3
36Cl,0.81,21.9,0.981,25.3,14.7,1034.0,0.55,2.65,2.5,274.0,1.5,4.71,29.0,-18.942,26.9,4390.0,70.8,7.4,7.1,0.02,20.95,0.0,CH96-29-M4a,617.5,0.13,0.005,293.28,2.66,4.0,1.74,4.3
36Cl,1.38,0.7,0.974,20.7,14.9,1034.0,0.66,2.65,3.43,1820.0,1.5,4.36,70.0,-18.94,27.9,4290.0,67.6,6.3,3.9,0.03,20.95,0.0,CH96-30-M3.5,28.5,0.06,0.005,293.27,2.66,3.9,2.52,4.3
36Cl,0.88,16.6,0.974,22.0,15.0,1034.0,0.62,2.65,2.74,268.0,2.5,4.75,11.0,-18.94,30.5,4290.0,70.2,7.3,4.0,0.02,20.95,0.0,CH96-31-M3.5,618.3,0.16,0.005,293.27,2.68,4.0,1.93,4.3
36Cl,0.67,11.1,0.976,20.5,15.0,1034.0,0.59,2.65,2.55,358.0,2.0,5.07,18.0,-18.94,32.1,4270.0,70.5,5.8,4.1,0.02,20.95,0.0,CH96-32-M3.5,410.5,0.17,0.005,293.27,2.61,4.1,1.5,4.3
36Cl,0.8,9.1,0.976,27.8,15.0,1034.0,0.61,2.65,2.58,249.0,1.5,5.24,14.0,-18.94,33.6,4270.0,69.0,7.0,8.1,0.02,20.95,0.0,CH96-33-M3.5,524.4,0.17,0.005,293.27,2.73,3.3,1.59,4.3
36Cl,0.7,19.2,0.98,21.8,14.8,1034.0,0.561,2.65,2.51,348.0,2.0,4.74,14.0,-18.939,31.5,4250.0,70.6,6.8,7.2,0.02,20.95,0.0,CH96-34-M3.5,475.9,0.15,0.005,293.27,2.73,4.4,2.01,4.3
36Cl,0.6,6.6,0.998,20.7,14.6,1034.0,0.55,2.65,2.27,3980.0,2.5,5.27,100.0,-18.938,30.6,4240.0,71.1,6.3,4.1,0.01,20.95,0.0,CH96-35-M2,373.1,0.27,0.005,293.26,2.63,4.1,1.43,4.3
36Cl,0.58,7.2,0.998,20.7,14.7,1034.0,0.611,2.65,2.58,1618.0,3.5,5.26,58.0,-18.938,27.9,4240.0,69.9,6.3,3.9,0.01,20.95,0.0,CH96-36-M2,252.5,0.19,0.005,293.26,2.52,3.9,1.52,4.3
36Cl,0.59,1.2,0.998,20.7,15.0,1034.0,0.594,2.65,2.32,822.0,2.0,5.24,32.0,-18.937,27.9,4240.0,70.8,6.3,3.9,0.01,20.95,0.0,CH96-37-M2,223.7,0.16,0.005,293.26,2.6,3.9,1.48,4.3
36Cl,0.64,8.9,0.993,20.7,14.9,1034.0,0.605,2.65,2.45,1934.0,4.5,5.22,56.0,-18.936,27.9,4220.0,70.6,6.3,3.9,0.02,20.95,0.0,CH96-38-M2,348.8,0.15,0.005,293.26,2.57,3.9,1.52,4.3
36Cl,0.69,8.6,0.998,20.7,14.5,1034.0,0.618,2.65,2.52,2190.0,2.0,5.24,100.0,-18.936,27.9,4210.0,69.7,6.3,3.9,0.01,20.95,0.0,CH96-39-M2,412.9,0.18,0.005,293.26,2.52,3.9,1.51,4.3
36Cl,0.63,0.4,0.998,20.7,14.6,1034.0,0.641,2.65,2.64,1880.0,4.0,5.63,80.0,-18.935,27.9,4220.0,69.3,6.3,3.9,0.01,20.95,0.0,CH96-40-M2,256.0,0.12,0.005,293.26,2.58,3.9,1.66,4.3
36Cl,0.75,27.2,1.0,26.7,14.6,1034.0,0.531,2.65,2.44,345.0,2.0,4.57,16.0,-18.936,27.6,4220.0,70.6,7.9,7.8,0.02,20.95,0.0,CH96-41-M3,599.3,0.14,0.005,293.26,2.53,4.9,1.98,4.3
36Cl,0.79,15.0,1.0,27.1,15.1,1034.0,0.55,2.65,2.46,1130.0,2.0,4.78,60.0,-18.936,27.9,4220.0,69.9,6.9,3.9,0.02,20.95,0.0,CH96-42-M3,608.6,0.17,0.005,293.26,2.78,3.9,1.8,4.3
36Cl,0.51,11.8,1.0,21.5,15.1,1034.0,0.53,2.65,2.24,513.0,2.0,5.2,33.0,-18.935,23.9,4200.0,70.9,5.8,6.5,0.02,20.95,0.0,CH96-43-M3,225.8,0.12,0.005,293.26,2.76,3.9,1.62,4.3
36Cl,0.95,22.8,0.978,23.9,15.3,1034.0,0.654,2.65,2.75,290.0,1.5,4.89,16.0,-18.933,28.2,4170.0,68.2,6.8,7.6,0.03,20.95,0.0,CH96-44-M3,573.6,0.13,0.005,293.26,2.68,4.5,2.16,4.3
36Cl,0.75,6.9,0.994,22.9,15.1,1034.0,0.61,2.65,2.6,324.0,2.0,4.6,9.0,-18.932,27.3,4160.0,69.5,6.7,7.2,0.02,20.95,0.0,CH96-45-M3,586.4,0.12,0.005,293.26,2.64,4.4,2.13,4.3
36Cl,0.85,24.1,0.976,26.0,15.4,1034.0,0.618,2.65,2.48,323.0,2.0,4.85,16.0,-18.93,29.3,4130.0,68.6,5.1,8.4,0.02,20.95,0.0,CH96-46-M3,556.8,0.16,0.005,293.26,2.74,4.1,2.34,4.3
36Cl,1.03,3.4,0.943,20.7,1.09,1034.0,0.076,2.5,0.54,2400.0,2.5,0.22,100.0,-18.727,27.9,3740.0,7.67,6.3,3.9,0.06,20.95,38.34,CH96-47,67.7,0.15,0.005,293.13,0.09,3.9,48.8,4.3
36Cl,0.71,3.8,0.976,20.7,0.61,1034.0,0.045,2.5,0.36,15400.0,3.0,0.06,330.0,-18.727,27.9,3740.0,2.98,6.3,3.9,0.09,20.95,40.46,CH96-48,75.9,0.26,0.005,293.13,0.06,3.9,51.5,4.3
