"nuclide","MgO","Cl uncertainty","shielding factor","Th","Al2O3","default sea level pressure","TiO2","density","Fe2O3","clRatio","thickness","K2O","clRatio uncertainty","latitude","B","elevation","SiO2","U","Sm","MnO","default sea level temperature","CO2","id","Cl","P2O5","volumetric water","longitude","Na2O","Gd","CaO","default lapse rate"
36Cl,39.05,0.1,1.0,0.0,2.2,1034.1,0.029,2.6,8.34,373.65,4.0,0.09,55.9,37.1,0.0,1899.0,45.02,0.0,0.0,0.116,19.65,0.0,SA02-609,48.2,0.02,0.0266,29.854,0.23,0.0,2.12,6.19
36Cl,39.78,0.1,1.0,0.0,1.93,1034.1,0.026,2.6,8.24,258.81,2.0,0.02,13.5,37.1,0.0,1902.0,42.56,0.0,0.0,0.108,19.65,0.0,SA02-610,64.9,0.01,0.044,28.853,0.13,0.0,1.85,6.19
36Cl,38.91,0.0,1.0,0.0,2.17,1034.1,0.02,2.6,7.95,268.88,3.0,0.03,27.34,37.1,3.3,1902.0,42.86,0.0,0.0,0.111,19.65,0.0,SA02-611,84.7,-0.01,0.0455,28.853,0.2,0.0,1.95,6.19
36Cl,39.01,11.0,1.0,0.0,1.74,1034.1,0.023,2.6,8.7,180.0,2.0,0.0,29.0,37.1,1.4,1949.0,43.43,0.0,0.0,0.104,19.65,0.0,SA02-612,220.0,0.0,0.0369,28.849,0.49,0.0,1.61,6.19
36Cl,43.62,0.3,1.0,0.0,0.96,1034.1,0.012,2.6,8.32,48.01,2.0,0.0,3.27,37.101,10.5,1934.0,43.08,0.0,0.0,0.114,19.65,0.0,SA05-613,77.3,0.0,0.0296,28.834,0.04,0.0,0.93,6.19
36Cl,42.46,0.1,1.0,0.0,0.94,1034.1,0.006,2.6,7.88,141.18,1.0,0.04,11.66,37.103,7.9,1907.0,41.4,0.1,0.0,0.102,19.65,0.0,SA05-616,89.1,0.0,0.0626,28.837,0.02,0.0,0.71,6.19
36Cl,40.88,0.1,1.0,0.0,1.94,1034.1,0.033,2.6,8.31,196.63,3.0,0.0,9.12,37.1,5.6,1934.0,41.93,0.0,0.0,0.114,19.65,0.0,SA05-617,102.3,0.0,0.0468,28.837,0.06,0.0,1.93,6.19
36Cl,43.12,0.4,1.0,0.0,1.88,1034.1,0.029,2.6,8.69,230.71,3.0,0.06,9.5,37.1,5.9,1914.0,43.67,0.7,0.0,0.121,19.65,0.0,SA05-618,87.3,0.0,0.0,28.852,0.05,0.0,1.41,6.19
36Cl,41.12,1.1,1.0,0.0,1.61,1034.1,0.022,2.6,8.36,408.33,1.5,0.03,14.78,37.099,7.3,1910.0,41.98,0.0,0.0,0.115,19.65,0.0,SA05-619,90.9,0.0,0.0503,28.852,0.05,0.0,1.6,6.19
36Cl,43.62,0.1,1.0,0.0,0.96,1034.1,0.012,2.6,8.32,108.52,2.0,0.0,4.78,37.101,10.5,1934.0,43.08,0.0,0.0,0.114,19.65,0.0,SA05-613-A,9.3,0.0,0.0296,28.834,0.04,0.0,0.93,6.19
36Cl,42.46,4.2,1.0,0.0,0.94,1034.1,0.006,2.6,7.88,167.25,1.0,0.04,5.44,37.103,7.9,1907.0,41.4,0.1,0.0,0.102,19.65,0.0,SA05-616-A,92.1,0.0,0.0626,28.837,0.02,0.0,0.71,6.19
36Cl,40.88,8.3,1.0,0.0,1.94,1034.1,0.033,2.6,8.31,186.02,3.0,0.0,7.5,37.1,5.6,1934.0,41.93,0.0,0.0,0.114,19.65,0.0,SA05-617-A,117.8,0.0,0.0468,28.837,0.06,0.0,1.93,6.19
36Cl,43.12,0.4,1.0,0.0,1.88,1034.1,0.029,2.6,8.69,273.59,3.0,0.06,10.68,37.1,5.9,1914.0,43.67,0.7,0.0,0.121,19.65,0.0,SA05-618-A,74.7,0.0,0.0,28.852,0.05,0.0,1.41,6.19
36Cl,41.12,5.8,1.0,0.0,1.61,1034.1,0.022,2.6,8.36,449.45,1.5,0.03,15.25,37.099,7.3,1910.0,41.98,0.0,0.0,0.115,19.65,0.0,SA05-619-A,89.9,0.0,0.0503,28.852,0.05,0.0,1.6,6.19
