"id","nuclide","landform group","latitude","longitude","elevation","density","thickness","shielding factor","published age","published age uncertainty","default sea-level pressure","default sea-level temperature","default lapse rate","Cl","Cl uncertainty","clRatio","clRatio uncertainty","Al2O3","CaO","Fe2O3","K2O","MgO","MnO","Na2O","P2O5","SiO2","TiO2","B","Gd","Sm","Th","U","CO2","volumetric water","independent age","independent age uncertainty"
SERHAR-1,36Cl,"Frazer Drift; CIS; Washington",48.49,237.31,61,2.8,3,1,15.7,1.3,1037.4,12.7,6.2,283.59,14.18,64.7,5.5,0.29,0.16,7.91,0.09,39.7,0.12,0.01,0.03,39.5,0.11,1,0.5,0.5,0,0,0,0.12,15500,500
SERHAR-1B,36Cl,"Frazer Drift; CIS; Washington",48.49,237.31,61,2.8,3,1,16.7,0.6,1037.4,12.7,6.2,283.59,14.18,69.8,2.6,0.29,0.16,7.91,0.09,39.7,0.12,0.01,0.03,39.5,0.11,1,0.5,0.5,0,0,0,0.12,15500,500
SERHAR-2,36Cl,"Frazer Drift; CIS; Washington",48.49,237.31,61,2.8,3,1,15.2,1.4,1037.4,12.7,6.2,263.6,13.18,62.9,5.7,0.18,0.14,7.66,0.1,38.9,0.12,0.01,0.02,39.6,0.04,6,0.5,0.5,0,0,0,0.12,15500,500
SERHAR-2A,36Cl,"Frazer Drift; CIS; Washington",48.49,237.31,61,2.8,3,1,15.2,3.3,1037.4,12.7,6.2,263.6,13.18,63.3,14,0.18,0.14,7.66,0.1,38.9,0.12,0.01,0.02,39.6,0.04,6,0.5,0.5,0,0,0,0.12,15500,500
SERHAR-2B,36Cl,"Frazer Drift; CIS; Washington",48.49,237.31,61,2.8,3,1,15.2,0.9,1037.4,12.7,6.2,263.6,13.18,62.6,3.7,0.18,0.14,7.66,0.1,38.9,0.12,0.01,0.02,39.6,0.04,6,0.5,0.5,0,0,0,0.12,15500,500
SERHAR-3,36Cl,"Frazer Drift; CIS; Washington",48.49,237.31,61,2.8,3,1,16.2,1.5,1037.4,12.7,6.2,290.18,14.51,63.8,5.8,0.15,0.02,8.34,0.11,37.5,0.13,0.01,0.03,39.3,0.02,4.5,0,0,0,0,0,0.13,15500,500
SERHAR-3A,36Cl,"Frazer Drift; CIS; Washington",48.49,237.31,61,2.8,3,1,16.6,1.5,1037.4,12.7,6.2,290.18,14.51,66.1,5.9,0.15,0.02,8.34,0.11,37.5,0.13,0.01,0.03,39.3,0.02,4.5,0,0,0,0,0,0.13,15500,500
SERHAR-3B,36Cl,"Frazer Drift; CIS; Washington",48.49,237.31,61,2.8,3,1,16.4,0.9,1037.4,12.7,6.2,290.18,14.51,65,3.5,0.15,0.02,8.34,0.11,37.5,0.13,0.01,0.03,39.3,0.02,4.5,0,0,0,0,0,0.13,15500,500
CLINTON-3,36Cl,"Frazer Drift; CIS; Washington",47.94,237.59,42,2.8,3,1,14.9,1,1037.4,12.7,6.2,248,12.4,64.9,4.4,15.31,13.01,13.02,0.12,6.71,0.21,1.77,0.16,43.6,1.02,4.5,3,3,0,0,0,0.08,15500,500
LDR-1A,36Cl,"Frazer Drift; CIS; Washington",48.06,237.5,91,2.8,3,1,15.3,1.94,1037.4,12.7,6.2,278.13,13.91,69,8.6,17.5,6.14,4.3,1.06,3.87,0.09,3.66,0.12,61.1,0.71,10.5,3,3,0,1.3,0,0.02,15500,500
LDR-1B,36Cl,"Frazer Drift; CIS; Washington",48.06,237.5,91,2.8,3,1,16.2,1.3,1037.4,12.7,6.2,270.45,13.52,72.2,5.6,17.51,6.16,5.9,1.09,2.3,0.08,3.6,0.16,62.37,0.77,10.5,3,3,0,1.3,0,0.02,15500,500
LDR-1C,36Cl,"Frazer Drift; CIS; Washington",48.06,237.5,91,2.8,3,1,15.8,1.1,1037.4,12.7,6.2,268.93,13.45,71.1,4.8,17.67,6.15,5.55,1.12,2.22,0.07,3.61,0.16,62.67,0.75,10.5,3,3,0,1.3,0,0.02,15500,500
MYST-2,36Cl,"Frazer Drift; CIS; Washington",48.03,237.58,56,2.8,3,1,15.2,0.8,1037.4,12.7,6.2,101.15,5.06,97.7,4.9,15.84,10.33,11.14,0.12,7.59,0.2,4.09,0.22,50.79,1.1,10,3,3,0,0,0,0.02,15500,500
MYST-2B,36Cl,"Frazer Drift; CIS; Washington",48.03,237.58,56,2.8,3,1,15.5,0.9,1037.4,12.7,6.2,127,6.35,84.9,4.2,15.2,9.98,11.31,0.09,7.31,0.2,3.22,0.23,48.9,1.04,10,3,3,0,0,0,0.02,15500,500
ROSCHT-2,36Cl,"Frazer Drift; CIS; Washington",48.42,237.33,25,2.8,3,1,14.9,2,1037.4,12.7,6.2,42,2.1,73.2,10,2.59,0.02,3.64,0.58,0.71,0.11,0.22,0.05,90.61,0.12,13.5,2.5,2.5,0,1.3,0,0.02,15500,500
ROSCHT-2B,36Cl,"Frazer Drift; CIS; Washington",48.42,237.33,25,2.8,3,1,15.8,0.9,1037.4,12.7,6.2,42,2.1,77.1,4.8,2.59,0.02,3.64,0.58,0.71,0.11,0.22,0.05,90.61,0.12,13.5,2.5,2.5,0,1.3,0,0.02,15500,500
ROSBAS-2,36Cl,"Frazer Drift; CIS; Washington",48.42,237.33,25,2.8,3,1,15,2.1,1037.4,12.7,6.2,27.48,1.37,212,29,12.2,8.8,11.7,0.06,6.21,0.17,4.04,0.13,51.3,1.76,29,4.5,4.5,0,0,0,0.02,15500,500
ROSBAS-3,36Cl,"Frazer Drift; CIS; Washington",48.42,237.33,25,2.8,3,1,16.2,1,1037.4,12.7,6.2,21.95,1.1,226,14,13.55,6.87,11.6,0.07,6.09,0.16,4.28,0.18,55,1.92,19,6,6,0,0,0,0.02,15500,500
ROSBAS-4,36Cl,"Frazer Drift; CIS; Washington",48.42,237.33,25,2.8,3,1,16.3,1.8,1037.4,12.7,6.2,23.05,1.15,203,23,14.3,5.93,11.6,0.18,6.44,0.18,4.48,0.2,51.3,2.1,19,6,6,0,0,0,0.02,15500,500
JB-1A,36Cl,"Frazer Drift; CIS; Washington",48.06,237.58,55,2.8,3,1,15.5,0.7,1037.4,12.7,6.2,98.99,4.95,139.1,6.6,15.2,16.3,9.81,0.03,10.7,0.28,0.26,0.12,42,1.03,8,3,3,0,0,0,0.02,15500,500
