age,sealevel
0,2.71186e-05
1,-0.762685
2,-1.01692
3,-1.5254
4,-2.79658
5,-3.73585
6,-5.84743
7,-10.4143
8,-17.2881
9,-29.4915
10,-44.7457
11,-60.2861
12,-74.8708
13,-84.7219
14,-91.2712
15,-97.6271
16,-105.763
17,-115.537
18,-122.12
19,-121.52
20,-118.84
21,-116.68
22,-113.6
23,-111.28
24,-107.56
25,-103.52
26,-98.04
27,-91.84
28,-85.72
29,-79.2
30,-73.92
31,-70.04
32,-68.92
33,-68.44
34,-69.28
35,-70.48
36,-71.6
37,-71.96
38,-71.04
39,-69.4
40,-67.6
41,-66.28
42,-65.36
43,-65
44,-65.36
45,-66.32
46,-66.24
47,-64.6
48,-62.52
49,-61.04
50,-59.36
51,-57.8
52,-57.64
53,-58.48
54,-59.64
55,-60.76
56,-63.36
57,-67.44
58,-72.48
59,-77.8
60,-83.76
61,-88.88
62,-92.08
63,-93.48
64,-93.24
65,-91.88
66,-89.36
67,-85.96
68,-81.76
69,-76.88
70,-71.76
71,-66.48
72,-61.24
73,-56.4
74,-52
75,-47.28
76,-42.24
77,-37.2
78,-31.36
79,-25
80,-19.64
81,-16.4
82,-14.72
83,-15.2
84,-18.36
85,-22.4
86,-25.84
87,-28.84
88,-32.2
89,-35.32
90,-38.48
91,-42.72
92,-47.12
93,-49.8
94,-49.88
95,-47.8
96,-43.24
97,-37.36
98,-31.72
99,-28.32
100,-27.8
101,-30.04
102,-35.44
103,-43.28
104,-52.24
105,-60.56
106,-67.52
107,-72.6
108,-75.48
109,-75.56
110,-73.24
111,-69.52
112,-64.6
113,-57.72
114,-49.36
115,-40.6
116,-32
117,-23.48
118,-16.08
119,-10.92
120,-7.2
121,-4.16
122,-1.56
123,0.52
124,3
125,4.4
126,4.08
127,0.16
128,-8.12
129,-21.08
130,-37.88
131,-57.04
132,-76.88
133,-95.2
134,-110.92
135,-123.08
136,-132.12
137,-137.72
138,-140.56
139,-141.36
140,-140.56
141,-138.44
142,-135.04
143,-130.96
144,-126.36
145,-121.04
146,-115.12
147,-109.16
148,-104
149,-99.96
150,-97.84
151,-97.68
152,-99
153,-101.04
154,-102.64
155,-103.16
156,-102.52
157,-100.88
158,-98.48
159,-95.92
160,-92.6
161,-88.16
162,-82.12
163,-74.64
164,-66.04
165,-57.28
166,-49.4
167,-42.88
168,-38
169,-34.6
170,-32.08
171,-29.6
172,-28.32
173,-28.32
174,-29.6
