"nuclide","elevation","id","density","default sea level pressure","thickness","published age uncertainty","latitude","shielding factor","cosmogenic inventory uncertainty","longitude","published age","default lapse rate","landform group","default sea level temperature","cosmogenic inventory"
10Be,1940.0,BL92-7,2.6,1042.0,1e-05,1100.0,43.236,1.0,26000.0,250.91,19200.0,6.6,Pinedale3,18.0,448000.0
10Be,1905.0,BL92-12-PN2,2.6,1042.0,1e-05,900.0,43.243,1.0,20000.0,250.92,15000.0,6.6,Pinedale2,18.0,342000.0
10Be,1885.0,BL92-26-BLVI,2.6,1042.0,1e-05,3300.0,43.246,1.0,70000.0,250.92,111000.0,6.6,BullLake13,18.0,2430000.0
10Be,1880.0,BL92-35-BLV,2.6,1042.0,1e-05,4000.0,43.24,1.0,80000.0,250.93,118000.0,6.6,BullLake12,18.0,2560000.0
10Be,1850.0,BL92-42-BLIV,2.6,1042.0,1e-05,4000.0,43.245,1.0,80000.0,250.93,126000.0,6.6,BullLake9,18.0,2720000.0
10Be,1830.0,BL92-44-BLIV,2.6,1042.0,1e-05,7000.0,43.247,1.0,140000.0,250.93,131000.0,6.6,BullLake9,18.0,2770000.0
10Be,2090.0,BL92-60-SR,2.6,1042.0,1e-05,11000.0,43.388,1.0,230000.0,250.67,331000.0,6.6,SacagaweaRidge,18.0,7740000.0
10Be,2110.0,BL92-64-SR,2.6,1042.0,1e-05,15000.0,43.387,1.0,270000.0,250.67,283000.0,6.6,SacagaweaRidge,18.0,7010000.0
10Be,2150.0,BL92-67-SR,2.6,1042.0,1e-05,5000.0,43.382,1.0,120000.0,250.67,154000.0,6.6,SacagaweaRidge,18.0,3980000.0
10Be,2300.0,FL92-7,2.6,1042.0,1e-05,4000.0,42.914,1.0,100000.0,250.15,114000.0,6.6,BullLake5,18.0,3320000.0
