"nuclide","MgO","Cl uncertainty","shielding factor","Th","Al2O3","default sea level pressure","vertical movement","TiO2","density","Fe2O3","clRatio","thickness","K2O","clRatio uncertainty","latitude","B","elevation","SiO2","U","Sm","MnO","default sea level temperature","CO2","id","Cl","P2O5","volumetric water","longitude","Na2O","Gd","CaO","default lapse rate"
36Cl,3.23,0.1,1.0,4.5,16.9,1036.8,-0.0025,2.238,2.8,10.32,678.0,2.0,2.17,42.0,19.851,11.2,3618.0,52.21,1.5,13.5,0.2,23.25,0.0,MK03-4-MKO,123.0,0.9,0.005,204.5,5.06,11.2,5.96,4.83
36Cl,3.17,0.1,1.0,4.1,16.52,1036.8,-0.0025,2.202,2.8,11.11,643.0,3.0,1.99,31.0,19.851,5.9,3623.0,51.34,1.4,11.8,0.191,23.25,0.0,MK03-5-MKO,173.6,0.45,0.005,204.5,4.7,9.9,5.66,4.83
36Cl,2.98,0.3,1.0,4.6,16.61,1036.8,-0.0025,2.23,2.8,10.24,935.0,2.0,2.09,61.0,19.852,5.7,3626.0,52.8,1.5,10.6,0.194,23.25,0.0,MK03-6-MKO,78.2,0.65,0.005,204.5,4.99,9.0,5.68,4.83
36Cl,4.24,1.7,1.0,5.5,16.44,1036.8,-0.0025,2.904,2.7,11.31,628.0,4.0,1.8,17.0,19.774,6.0,3227.0,49.94,1.8,11.8,0.198,23.25,0.0,HI00-32-MA,92.9,0.41,0.005,204.53,4.56,10.6,6.74,4.83
36Cl,4.27,0.8,1.0,5.3,16.53,1036.8,-0.0025,3.013,2.7,12.09,1370.0,6.0,1.82,60.0,19.774,0.0,3227.0,50.52,1.6,11.9,0.201,23.25,0.0,HI00-33-MA,32.0,0.55,0.005,204.53,4.53,10.5,6.82,4.83
36Cl,3.34,0.1,1.0,3.8,16.85,1036.8,-0.0025,2.454,2.8,10.48,886.0,2.0,1.98,50.0,19.844,0.0,3615.0,53.25,1.3,9.7,0.197,23.25,0.0,MK03-1-MKY,38.7,0.53,0.005,204.5,4.97,8.4,5.82,4.83
36Cl,4.52,0.1,1.0,3.1,14.4,1036.8,-0.0025,4.058,2.8,14.06,834.0,2.0,1.46,42.0,19.843,4.8,3607.0,49.09,0.9,7.8,0.192,23.25,0.0,MK03-2-MKY,49.9,0.41,0.005,204.5,3.76,7.2,8.66,4.83
36Cl,3.34,0.2,1.0,3.7,17.02,1036.8,-0.0025,2.513,2.8,10.62,475.0,3.0,2.09,26.0,19.841,1.4,3601.0,52.04,1.3,10.6,0.2,23.25,0.0,MK03-3-MKY,95.5,0.6,0.005,204.5,4.93,9.1,6.06,4.83
36Cl,3.32,0.1,1.0,4.5,16.94,1036.8,-0.0025,2.48,2.8,10.74,285.0,2.5,2.13,20.0,19.813,8.9,3633.0,51.55,1.5,12.5,0.201,23.25,0.0,MK03-19-MKY,199.0,0.79,0.005,204.49,4.82,10.6,6.05,4.83
36Cl,3.43,0.1,1.0,4.8,16.74,1036.8,-0.0025,2.283,2.8,10.08,693.0,2.5,2.2,42.0,19.813,4.9,3634.0,51.5,1.6,12.7,0.198,23.25,0.0,MK03-20-MKY,54.9,0.77,0.005,204.49,4.92,11.0,5.91,4.83
36Cl,3.08,0.1,1.0,4.4,17.07,1036.8,-0.0025,2.387,2.8,10.49,321.0,2.5,2.1,29.0,19.813,6.9,3635.0,51.88,1.5,10.4,0.193,23.25,0.0,MK03-21-MKY,112.2,0.64,0.005,204.49,5.12,8.8,5.88,4.83
36Cl,3.63,0.3,1.0,3.7,16.72,1036.8,-0.0025,2.715,2.8,12.11,431.0,2.0,2.04,24.0,19.788,7.3,3527.0,51.3,1.2,10.4,0.199,23.25,0.0,MK03-7-BF,71.6,0.47,0.005,204.55,4.75,8.8,6.02,4.83
36Cl,5.74,0.1,1.0,1.8,14.27,1036.8,-0.0025,3.677,2.8,14.94,2477.0,2.5,0.59,87.0,19.788,1.1,3531.0,46.97,0.4,4.6,0.195,23.25,0.0,MK03-8-BF,28.0,0.26,0.005,204.55,2.67,4.6,10.02,4.83
36Cl,3.97,0.1,1.0,3.8,16.41,1036.8,-0.0025,2.883,2.8,11.64,447.0,2.5,1.97,19.0,19.788,5.7,3516.0,51.64,1.5,10.2,0.209,23.25,0.0,MK03-9-BF,67.1,0.58,0.005,204.55,4.68,8.8,6.3,4.83
36Cl,4.12,0.1,1.0,3.4,16.39,1036.8,-0.0025,2.838,2.8,11.3,381.0,2.0,1.79,16.0,19.788,1.6,3516.0,49.01,1.2,12.7,0.19,23.25,0.0,MK03-10-BF,123.8,0.81,0.005,204.55,4.47,10.7,6.82,4.83
36Cl,3.85,0.1,1.0,3.9,16.51,1036.8,-0.0025,2.803,2.8,11.34,476.0,3.0,1.95,23.0,19.788,3.2,3514.0,51.33,1.3,9.7,0.202,23.25,0.0,MK03-11-BF,79.7,0.55,0.005,204.55,4.74,8.3,6.25,4.83
36Cl,4.29,0.1,1.0,3.5,16.51,1036.8,-0.0025,2.871,2.8,11.54,212.0,1.5,1.76,14.0,19.788,5.8,3518.0,49.0,1.2,12.8,0.194,23.25,0.0,MK03-12-BF,184.2,0.85,0.005,204.55,4.51,11.1,6.99,4.83
36Cl,3.59,1.7,1.0,3.9,16.99,1036.8,-0.0025,2.538,2.65,10.74,451.0,4.0,2.08,21.0,19.79,7.0,3475.0,53.38,1.5,5.6,0.193,23.25,0.0,HI00-26-MA,68.0,0.17,0.005,204.55,4.97,4.9,5.64,4.83
36Cl,3.4,2.5,1.0,4.3,16.92,1036.8,-0.0025,2.506,2.65,10.7,360.0,3.0,2.08,23.0,19.79,10.0,3475.0,53.26,1.6,7.5,0.191,23.25,0.0,HI00-27-MA,110.1,0.35,0.005,204.55,4.84,7.0,5.77,4.83
36Cl,3.68,0.5,1.0,4.8,16.89,1036.8,-0.0025,2.553,2.65,10.78,870.0,2.5,2.06,31.0,19.791,7.3,3566.0,53.0,1.8,10.0,0.202,23.25,0.0,HI00-21-MA,35.4,0.36,0.005,204.55,4.89,8.9,5.96,4.83
36Cl,4.34,0.8,1.0,4.0,16.59,1036.8,-0.0025,3.051,2.65,12.17,545.0,4.0,1.78,23.0,19.791,4.0,3572.0,50.62,1.4,10.3,0.201,23.25,0.0,HI00-22-MA,81.1,0.47,0.005,204.55,4.5,9.5,6.7,4.83
36Cl,4.29,0.4,1.0,4.5,16.59,1036.8,-0.0025,2.965,2.65,12.01,1590.0,4.0,1.9,70.0,19.791,7.3,3572.0,50.88,1.5,11.7,0.199,23.25,0.0,HI00-23-MA,27.8,0.52,0.005,204.55,4.58,10.5,6.82,4.83
36Cl,3.64,0.6,1.0,4.7,16.82,1036.8,-0.0025,2.48,2.65,11.06,735.0,5.0,1.97,32.0,19.791,8.0,3572.0,52.06,1.7,9.2,0.202,23.25,0.0,HI00-24-MA,57.7,0.39,0.005,204.55,4.96,8.5,5.83,4.83
36Cl,3.44,0.7,1.0,4.8,16.87,1036.8,-0.0025,2.562,2.65,10.72,1257.0,6.0,2.1,44.0,19.791,10.0,3573.0,52.89,1.7,8.5,0.19,23.25,0.0,HI00-25-MA,54.2,0.35,0.005,204.55,4.97,7.7,5.82,4.83
36Cl,3.58,3.7,1.0,4.6,16.46,1036.8,-0.0025,2.676,2.65,10.95,498.0,2.0,1.92,21.0,19.818,8.0,4056.0,52.96,1.9,9.0,0.196,23.25,0.0,HI00-28-MA,133.3,0.41,0.005,204.53,4.63,7.9,6.04,4.83
36Cl,3.51,4.5,1.0,5.6,16.49,1036.8,-0.0025,2.65,2.65,10.95,293.0,3.0,1.78,13.0,19.818,12.0,4056.0,52.72,1.6,9.9,0.196,23.25,0.0,HI00-29-MA,294.7,0.5,0.005,204.53,4.34,9.1,5.8,4.83
36Cl,3.68,1.7,1.0,5.5,16.91,1036.8,-0.0025,2.715,2.65,11.25,712.0,3.0,2.0,19.0,19.818,6.0,4056.0,52.06,1.6,8.5,0.202,23.25,0.0,HI00-30-MA,75.1,0.38,0.005,204.53,4.67,7.8,5.96,4.83
36Cl,3.58,0.6,1.0,4.8,16.88,1036.8,-0.0025,2.745,2.65,10.98,1458.0,2.0,1.96,37.0,19.818,3.0,4056.0,52.93,1.2,7.8,0.205,23.25,0.0,HI00-31-MA,37.9,0.33,0.005,204.53,4.7,7.0,5.99,4.83
36Cl,1.51,2.3,1.0,0.5,18.0,1036.8,-0.0025,2.22,2.65,9.47,1110.0,2.0,2.12,36.0,19.825,10.0,4054.0,52.9,0.5,10.0,0.2,23.25,0.0,MK-MAKT-29,45.0,0.95,0.005,204.52,5.97,4.9,6.22,4.83
36Cl,2.04,2.5,1.0,0.5,17.98,1036.8,-0.0025,2.37,2.65,9.85,1121.0,2.0,1.99,82.0,19.849,10.0,3500.0,54.93,0.5,10.0,0.19,23.25,0.0,MK-MAKO-12,49.0,1.04,0.005,204.49,5.44,3.0,6.82,4.83
36Cl,3.37,6.2,1.0,0.5,16.1,1036.8,-0.0025,2.63,2.65,11.2,532.0,2.0,1.56,32.0,19.847,10.0,3536.0,51.24,0.5,10.0,0.21,23.25,0.0,MK-MAK-IF2-15,124.0,0.55,0.005,204.49,4.2,4.0,6.56,4.83
36Cl,1.9,4.2,1.0,0.5,18.8,1036.8,-0.0025,2.37,2.65,10.0,708.0,2.0,2.04,30.0,19.843,9.0,3584.0,51.9,0.5,9.0,0.2,23.25,0.0,MK-MAKY-16,84.0,0.96,0.005,204.49,5.61,5.2,6.72,4.83
36Cl,5.8,2.4,0.918,9.7,14.61,1036.8,-0.0025,3.601,2.65,14.74,307.0,3.0,0.57,14.0,19.776,0.5,2042.0,46.48,3.2,13.9,0.188,23.25,0.0,HAW03-9-MK,47.7,0.1,0.005,204.44,2.63,11.9,10.61,4.83
