Sediment depth (cm),14C age (BP),Error,Sample type
43.5,440,30,aquatic moss
50,655,25,bulk sediment
57.5,735,25,bulk carbonate
92.5,1470,40,aquatic moss
237.5,2300,35,twig fragment
345.5,3600,35,bulk carbonate
368.5,3625,35,aquatic moss
529.5,4465,50,aquatic moss
673.5,6440,70,bulk carbonate
763,7025,50,aquatic moss
890.5,7260,50,bulk carbonate
1052.5,7580,50,aquatic moss
1074.5,6915,40,tephra (Hudson volcano)
1320,7635,40,tephra (Mt. Burney volcano)
1398.5,8930,50,mammal bone
1493.5,10240,60,bulk carbonate
1578.5,11200,60,aquatic moss
1676.5,12490,70,aquatic moss
1790.5,12850,70,aquatic moss
1861,12638,60,tephra (Reclus volcano)
1888.5,13450,70,aquatic moss
