id,latitude,longitude,elevation,thickness,shielding factor,cosmogenic inventory,cosmogenic inventory uncertainty,published age,published age uncertainty,source,nuclide,density,landform group
WM01-1D,61.16374,157.53143,343,2,0.998,1.09,0.16,15800,1800,briner,10Be,2.65,chuilnuk moraine
WM01-1C,61.16446,157.53199,355,2,0.998,1.02,0.13,14600,1500,briner,10Be,2.65,chuilnuk moraine
WM01-1A,61.17443,157.53286,380,2,0.998,0.87,0.16,12100,2000,briner,10Be,2.65,chuilnuk moraine
WM01-1B,61.16583,157.53262,366,3,0.998,0.66,0.14,9300,1800,briner,10Be,2.65,chuilnuk moraine
WM01-2E,61.17363,157.5142,372,3,0.99,1.26,0.15,17700,1500,briner,10Be,2.65,buckstock moraine
WM01-2C,61.174,157.51395,377,3,0.99,1.18,0.16,16400,1700,briner,10Be,2.65,buckstock moraine
WM01-2D,61.17361,157.51424,372,1,0.99,1.08,0.14,15200,1500,briner,10Be,2.65,buckstock moraine
WM01-2B,61.17458,157.51341,391,2,0.99,1.04,0.12,14300,1200,briner,10Be,2.65,buckstock moraine
NLL-00-2,61.27276,155.21306,243,4,1,2.29,0.4,38100,2100,briner,10Be,2.65,north lime lake moraine
NLL-00-1,61.2733,155.2135,235,5,1,1.53,0.08,25600,4500,briner,10Be,2.65,north lime lake moraine
SR2-00-2,61.28516,154.3271,650,5,1,1.96,0.08,21300,900,briner,10Be,2.65,swift river farewell II moraine
SR2-00-5,61.28283,154.30129,641,3,1,1.76,0.09,19300,1000,briner,10Be,2.65,swift river farewell II moraine
SR2-00-3,61.29091,154.343,613,5,1,1.74,0.07,19200,800,briner,10Be,2.65,swift river farewell II moraine
SR2-00-4,61.2734,154.27576,655,4,1,1.72,0.07,18200,700,briner,10Be,2.65,swift river farewell II moraine
SR1-00-2,61.28257,154.32245,607,2,1,4.97,0.13,55400,1400,briner,10Be,2.65,swift river farewell I moraine
SR1-00-4,61.28123,154.30121,633,3,1,4.63,0.14,51400,1600,briner,10Be,2.65,swift river farewell I moraine
