id,landform group,bedrock,boulder size,latitude,longitude,elevation,cosmogenic inventory,cosmogenic inventory uncertainty,published age,published age uncertainty,nuclide,shielding factor,source,density,glacial polish
1,outer clyde inlet,Boulder,1.7,70.19014,68.51416,138,0.49,0.05,8600,900,10Be,1,rpv2,2.65,yes
2,outer clyde inlet,Boulder,1,70.18945,68.51702,126,0.57,0.03,10200,500,10Be,1,rpv2,2.65,yes
3,outer clyde inlet,Boulder,3,70.18933,68.48266,42,0.59,0.02,11400,500,10Be,1,rpv2,2.65,yes
4,patricia bay lowland,Cobble,0,70.26339,68.31118,231,0.71,0.05,11200,800,10Be,1,rpv2,2.65,yes
5,patricia bay lowland,Cobble,0,70.2663,68.30766,252,0.7,0.04,11400,600,10Be,1,rpv2,2.65,yes
6,patricia bay lowland,Boulder,1.5,70.27841,68.41284,145,0.59,0.09,10300,1300,10Be,1,rpv2,2.65,yes
7,patricia bay lowland,Boulder,5,70.26606,68.45343,188,0.76,0.09,12800,1000,10Be,1,rpv2,2.65,yes
8,patricia bay lowland,Boulder,1.5,70.26993,68.45511,192,1.07,0.11,18000,1100,10Be,1,rpv2,2.65,yes
9,lower kogalu river valley,Boulder,1.2,70.42191,69.05139,36,0.55,0.03,10500,600,10Be,1,rpv2,2.65,yes
10,lower kogalu river valley,Cobble,0,70.42431,69.0753,40,0.61,0.06,11900,500,10Be,1,rpv2,2.65,yes
11,lower kogalu river valley,Boulder,1.5,70.35056,68.55433,220,0.87,0.03,13900,500,10Be,1,rpv2,2.65,yes
12,lower kogalu river valley,Boulder,3,70.41294,69.113,178,0.88,0.03,14600,500,10Be,1,rpv2,2.65,yes
13,lower kogalu river valley,Boulder,10,70.42232,69.05175,52,0.81,0.03,15300,500,10Be,1,rpv2,2.65,yes
14,lower kogalu river valley,Boulder,5,70.4174,69.08359,93,0.86,0.05,15500,800,10Be,1,rpv2,2.65,yes
15,lower kogalu river valley,Boulder,0.8,70.37359,69.10258,45,0.89,0.04,16900,700,10Be,1,rpv2,2.65,yes
16,lower kogalu river valley,Boulder,5,70.36823,68.48078,98,0.94,0.09,17000,700,10Be,1,rpv2,2.65,yes
17,lower kogalu river valley,Boulder,2.5,70.40583,69.09429,130,0.99,0.03,17300,500,10Be,1,rpv2,2.65,yes
18,lower kogalu river valley,Boulder,3,70.38812,68.54527,85,1.22,0.11,22700,700,10Be,1,rpv2,2.65,yes
19,lower kogalu river valley,Boulder,1,70.41299,69.10234,172,1.39,0.07,23300,1200,10Be,1,rpv2,2.65,yes
20,lower kogalu river valley,Cobble,0,70.34843,68.55791,300,1.58,0.05,23800,700,10Be,1,rpv2,2.65,yes
21,lower kogalu river valley,Boulder,3.8,70.41311,69.1239,185,1.45,0.13,23900,2100,10Be,1,rpv2,2.65,yes
22,lower kogalu river valley,Cobble,0,70.37482,69.10743,50,2.59,0.22,50500,1300,10Be,1,rpv2,2.65,yes
23,lower kogalu river valley,Boulder,1.5,70.35164,68.59398,208,4.54,0.16,73900,2700,10Be,1,rpv2,2.65,yes
24,upper kogalu river valley,Boulder,2,70.30252,68.55426,172,0.7,0.02,11600,300,10Be,1,rpv2,2.65,yes
25,upper kogalu river valley,Cobble,0,70.29336,69.21235,259,0.79,0.03,12600,300,10Be,1,rpv2,2.65,yes
26,upper kogalu river valley,Cobble,1.5,70.37129,69.1406,124,0.72,0.07,12900,500,10Be,1,rpv2,2.65,yes
27,upper kogalu river valley,Boulder,2.5,70.30436,68.55293,153,0.82,0.02,14000,400,10Be,1,rpv2,2.65,yes
28,upper kogalu river valley,Boulder,1.5,70.30383,69.02181,190,0.85,0.03,13900,400,10Be,1,rpv2,2.65,yes
29,upper kogalu river valley,Boulder,2.5,70.30404,69.02174,207,1.63,0.04,26200,600,10Be,1,rpv2,2.65,yes
30,eglinton fjord,Boulder,2,70.42812,69.20861,134,0.78,0.07,13700,600,10Be,1,rpv2,2.65,yes
31,kuvinilk river,Cobble,0,70.31613,68.35938,82,0.55,0.03,10700,500,10Be,1,rpv2,2.65,no
32,kuvinilk river,Boulder,4,70.35127,68.5049,142,0.72,0.03,12400,400,10Be,1,rpv2,2.65,no
33,kuvinilk river,Cobble,0,70.25339,68.593,368,0.93,0.05,12800,600,10Be,1,rpv2,2.65,no
34,kuvinilk river,Boulder,4,70.33336,68.51388,135,0.77,0.02,13300,400,10Be,1,rpv2,2.65,no
