id,elevation,cosmogenic inventory,cosmogenic inventory uncertainty,published age,published age uncertainty,latitude,longitude,source,shielding factor,density,nuclide,landform group
KM-95-16,930,3.51,0.16,100000,22000,66.06,65.44,sdarticle2,1,2.65,26Al,baffin island
KM-95-106,600,2.44,0.13,69000,15000,66.06,65.44,sdarticle2,1,2.65,26Al,baffin island
KM-95-107,630,3.14,0.14,89000,19000,66.06,65.44,sdarticle2,1,2.65,26Al,baffin island
KM-95-108,630,2.28,0.12,64000,14000,66.06,65.44,sdarticle2,1,2.65,26Al,baffin island
KM-95-109,630,1.99,0.12,56000,12000,66.06,65.44,sdarticle2,1,2.65,26Al,baffin island
KM-95-110,660,3.06,0.16,87000,19000,66.06,65.44,sdarticle2,1,2.65,26Al,baffin island
KM-95-112,660,2.92,0.15,83000,18000,66.06,65.44,sdarticle2,1,2.65,26Al,baffin island
SQ-1A,530,4.21,0.28,122000,27000,43.45,96.1,sdarticle2,1,2.65,26Al,sioux quartz
SQ-1B,530,4.3,0.25,124000,28000,43.45,96.1,sdarticle2,1,2.65,26Al,sioux quartz
SQ-2,530,4.54,0.25,131000,29000,43.45,96.1,sdarticle2,1,2.65,26Al,sioux quartz
SQ-3A,530,2.77,0.16,78000,17000,43.45,96.1,sdarticle2,1,2.65,26Al,sioux quartz
SQ-3B,530,2.5,0.14,70000,15000,43.45,96.1,sdarticle2,1,2.65,26Al,sioux quartz
SQ-4A,530,2.48,0.14,69000,15000,43.45,96.1,sdarticle2,1,2.65,26Al,sioux quartz
SQ-4B,530,2.97,0.17,84000,18000,43.45,96.1,sdarticle2,1,2.65,26Al,sioux quartz
