id,landform group,latitude,elevation,depth,cosmogenic inventory,cosmogenic inventory uncertainty,published age,published age uncertainty,source,shielding factor,density,nuclide,longitude
3294-1A,flood plain,38.3,1420,0,487,29,6400,1000,sdarticle,1,2.65,26Al,111
3314-1A,flood plain,38.4,1360,0,234,31,17800,3100,sdarticle,1,2.65,26Al,111
3314-1C,flood plain,38.4,1360,0,331,16,16300,2000,sdarticle,1,2.65,26Al,111
9234-2.1,FR1,38.4,1380,0,71,19,119800,37400,sdarticle,1,2.65,26Al,111
9234-2.2,FR1,38.4,1380,0,70,19,104800,32700,sdarticle,1,2.65,26Al,111
9234-2.3,FR1,38.4,1380,0,105,22,50900,12100,sdarticle,1,2.65,26Al,111
9234-2.8,FR1,38.4,1380,0,62,20,23700,8000,sdarticle,1,2.65,26Al,111
9234-2.13,FR1,38.4,1380,0,295,32,39300,6100,sdarticle,1,2.65,26Al,111
3314-2A,FR2A,38.4,1400,0,211,12,65500,8100,sdarticle,1,2.65,26Al,111
3314-3A,FR2B,38.4,1410,0,229,32,66300,12100,sdarticle,1,2.65,26Al,111
9053-4,FR2B,38.3,1410,0,113,25,69000,9900,sdarticle,1,2.65,26Al,111
6202-2E,FR2C,38.4,1420,0,77,22,86800,28600,sdarticle,1,2.65,26Al,111
9172-5B,FR2C,38.3,1420,0,244,36,79500,15000,sdarticle,1,2.65,26Al,111
9244-7.1,FR2C,38.4,1420,0,184,19,60000,9300,sdarticle,1,2.65,26Al,111
9244-7.2,FR2C,38.4,1420,0,344,27,72100,9900,sdarticle,1,2.65,26Al,111
9244-7.3,FR2C,38.4,1420,0,207,20,106900,16100,sdarticle,1,2.65,26Al,111
9244-7.5,FR2C,38.4,1420,0,260,20,87400,12100,sdarticle,1,2.65,26Al,111
9244-7.6,FR2C,38.4,1420,0,442,21,106300,13100,sdarticle,1,2.65,26Al,111
9073-4,FR3,38.4,1440,0,216,45,134900,33500,sdarticle,1,2.65,26Al,111
9073-5,FR3,38.4,1440,0,363,37,233600,38300,sdarticle,1,2.65,26Al,111
3294-1B,flood plain,38.3,1420,0,146,7,24300,2900,sdarticle,1,2.65,26Al,111
3314-1B,flood plain,38.4,1360,0,222,11,14400,1700,sdarticle,1,2.65,26Al,111
9234-2A,FR1,38.4,1380,0,145,23,66200,13100,sdarticle,1,2.65,26Al,111
9234-2B,FR1,38.4,1380,0,276,28,60900,9300,sdarticle,1,2.65,26Al,111
9234-2C,FR1,38.4,1380,0,508,28,71300,9100,sdarticle,1,2.65,26Al,111
9234-6A,FR1,38.4,1380,50,346,31,60600,23100,sdarticle,1,2.65,26Al,111
9234-6B,FR1,38.4,1380,50,346,28,74400,25200,sdarticle,1,2.65,26Al,111
3314-2B,FR2A,38.4,1390,0,150,8,89800,10900,sdarticle,1,2.65,26Al,111
3314-3B,FR2B,38.4,1400,0,177,10,66400,8300,sdarticle,1,2.65,26Al,111
9244-7A,FR2C,38.4,1410,0,201,22,82300,12900,sdarticle,1,2.65,26Al,111
9244-7B,FR2C,38.4,1410,0,253,20,80800,11100,sdarticle,1,2.65,26Al,111
4175-2A,FR2C,38.3,1410,40,215,18,45600,27300,sdarticle,1,2.65,26Al,111
9244-8A,FR2C,38.4,1410,60,653,44,56200,20600,sdarticle,1,2.65,26Al,111
9244-8B,FR2C,38.4,1410,60,738,20,60800,20500,sdarticle,1,2.65,26Al,111
4175-3A,FR2C,38.3,1410,100,459,18,54400,14400,sdarticle,1,2.65,26Al,111
3314-4B,FR3,38.4,1440,0,251,12,132200,16000,sdarticle,1,2.65,26Al,111
9244-9A,FR3,38.3,1440,0,150,16,141100,22500,sdarticle,1,2.65,26Al,111
9244-9B,FR3,38.3,1440,0,204,14,133300,17800,sdarticle,1,2.65,26Al,111
4155-3A,FR3,38.4,1430,100,335,22,85000,23300,sdarticle,1,2.65,26Al,111
4155-3B,FR3,38.4,1430,100,575,27,117300,26400,sdarticle,1,2.65,26Al,111
4155-4A,FR3,38.4,1430,150,522,27,111200,21300,sdarticle,1,2.65,26Al,111
4155-4B,FR3,38.4,1430,150,446,27,115100,21700,sdarticle,1,2.65,26Al,111
9234-3A,FR4,38.3,1490,0,371,15,174400,21200,sdarticle,1,2.65,26Al,111
9234-3B,FR4,38.3,1490,0,338,17,171400,21800,sdarticle,1,2.65,26Al,111
9234-4A,FR4,38.3,1490,200,103,15,158000,23400,sdarticle,1,2.65,26Al,111
9234-4B,FR4,38.3,1490,200,214,31,149600,23700,sdarticle,1,2.65,26Al,111
