id,landform group,latitude,elevation,depth,cosmogenic inventory,cosmogenic inventory uncertainty,published age,published age uncertainty,source,shielding factor,density,nuclide,longitude
3294-1A,flood plain,38.3,1420,0,25,0.3,6200,1300,sdarticle,1,2.65,10Be,111
3314-1A,flood plain,38.4,1360,0,24.7,0.3,17900,2400,sdarticle,1,2.65,10Be,111
3314-1C,flood plain,38.4,1360,0,25.8,0.3,20000,2700,sdarticle,1,2.65,10Be,111
9234-2.1,FR1,38.4,1380,0,25.7,0.3,124800,13400,sdarticle,1,2.65,10Be,111
9234-2.2,FR1,38.4,1380,0,25.2,0.3,106800,11300,sdarticle,1,2.65,10Be,111
9234-2.3,FR1,38.4,1380,0,25.2,0.3,52400,5700,sdarticle,1,2.65,10Be,111
9234-2.8,FR1,38.4,1380,0,24.1,0.3,24000,2600,sdarticle,1,2.65,10Be,111
9234-2.13,FR1,38.4,1380,0,24.8,0.3,46100,5500,sdarticle,1,2.65,10Be,111
3314-2A,FR2A,38.4,1400,0,25.1,0.3,64400,6900,sdarticle,1,2.65,10Be,111
3314-3A,FR2B,38.4,1410,0,25.1,0.3,60400,6900,sdarticle,1,2.65,10Be,111
9053-4,FR2B,38.3,1410,0,23.4,0.3,68600,7500,sdarticle,1,2.65,10Be,111
6202-2E,FR2C,38.4,1420,0,16.9,0.2,85300,10000,sdarticle,1,2.65,10Be,111
9172-5B,FR2C,38.3,1420,0,25,0.3,79000,8800,sdarticle,1,2.65,10Be,111
9244-7.1,FR2C,38.4,1420,0,25,0.3,56300,6500,sdarticle,1,2.65,10Be,111
9244-7.2,FR2C,38.4,1420,0,24.4,0.3,70100,7500,sdarticle,1,2.65,10Be,111
9244-7.3,FR2C,38.4,1420,0,24.8,0.3,94200,10000,sdarticle,1,2.65,10Be,111
9244-7.5,FR2C,38.4,1420,0,24.9,0.3,81400,8600,sdarticle,1,2.65,10Be,111
9244-7.6,FR2C,38.4,1420,0,26.5,0.3,129900,14100,sdarticle,1,2.65,10Be,111
9073-4,FR3,38.4,1440,0,22.7,0.3,121100,12800,sdarticle,1,2.65,10Be,111
9073-5,FR3,38.4,1440,0,24.3,0.3,201800,21500,sdarticle,1,2.65,10Be,111
4155-1.1,FR3,38.4,1440,0,41.4,0.4,84000,9300,sdarticle,1,2.65,10Be,111
4155-1.3,FR3,38.4,1440,0,25.3,0.3,159900,17800,sdarticle,1,2.65,10Be,111
4155-1.6,FR3,38.4,1440,0,65.5,0.7,99100,12100,sdarticle,1,2.65,10Be,111
4155-1.7,FR3,38.4,1430,0,170.5,1.8,83500,12900,sdarticle,1,2.65,10Be,111
3294-1B,flood plain,38.3,1420,0,28,0.3,23100,4800,sdarticle,1,2.65,10Be,111
3314-1B,flood plain,38.4,1360,0,25.9,0.3,13600,2000,sdarticle,1,2.65,10Be,111
9234-2A,FR1,38.4,1380,0,25.3,0.3,69500,7400,sdarticle,1,2.65,10Be,111
9234-2B,FR1,38.4,1380,0,25.2,0.3,66500,7100,sdarticle,1,2.65,10Be,111
9234-2C,FR1,38.4,1380,0,25,0.3,70900,8500,sdarticle,1,2.65,10Be,111
9234-6A,FR1,38.4,1380,50,24.9,0.3,66100,16500,sdarticle,1,2.65,10Be,111
9234-6B,FR1,38.4,1380,50,24.5,0.3,68200,17000,sdarticle,1,2.65,10Be,111
3314-2B,FR2A,38.4,1390,0,24.9,0.3,78600,8400,sdarticle,1,2.65,10Be,111
3314-3B,FR2B,38.4,1400,0,25.3,0.3,62900,6700,sdarticle,1,2.65,10Be,111
9244-7A,FR2C,38.4,1410,0,25.2,0.3,87200,9300,sdarticle,1,2.65,10Be,111
9244-7B,FR2C,38.4,1410,0,25.3,0.3,85500,9100,sdarticle,1,2.65,10Be,111
4175-2A,FR2C,38.3,1410,40,24.8,0.3,38500,14200,sdarticle,1,2.65,10Be,111
9244-8A,FR2C,38.4,1410,60,25.4,0.3,62500,13800,sdarticle,1,2.65,10Be,111
9244-8B,FR2C,38.4,1410,60,23.9,0.3,57200,12700,sdarticle,1,2.65,10Be,111
4175-3A,FR2C,38.3,1410,100,24.4,0.3,59300,9900,sdarticle,1,2.65,10Be,111
3314-4B,FR3,38.4,1440,0,24.7,0.3,113400,12000,sdarticle,1,2.65,10Be,111
9244-9A,FR3,38.3,1440,0,24.8,0.3,141400,15100,sdarticle,1,2.65,10Be,111
9244-9B,FR3,38.3,1440,0,25.3,0.3,131700,14100,sdarticle,1,2.65,10Be,111
4155-1A,FR3,38.4,1440,0,53,0.6,131400,14900,sdarticle,1,2.65,10Be,111
4155-1B,FR3,38.4,1440,0,54.2,0.6,127500,13900,sdarticle,1,2.65,10Be,111
4155-2A,FR3,38.4,1440,50,36.6,0.4,83000,22100,sdarticle,1,2.65,10Be,111
4155-3A,FR3,38.4,1430,100,25.6,0.3,83900,13700,sdarticle,1,2.65,10Be,111
4155-3B,FR3,38.4,1430,100,25.1,0.3,107200,16700,sdarticle,1,2.65,10Be,111
4155-4A,FR3,38.4,1430,150,25.3,0.3,98900,12800,sdarticle,1,2.65,10Be,111
4155-4B,FR3,38.4,1430,150,25.2,0.3,106700,13700,sdarticle,1,2.65,10Be,111
9234-3A,FR4,38.3,1490,0,25.5,0.3,160100,17500,sdarticle,1,2.65,10Be,111
9234-3B,FR4,38.3,1490,0,25.4,0.3,178400,19300,sdarticle,1,2.65,10Be,111
9234-4A,FR4,38.3,1490,200,26.5,0.3,149100,17700,sdarticle,1,2.65,10Be,111
9234-4B,FR4,38.3,1490,200,47.7,0.5,143800,25900,sdarticle,1,2.65,10Be,111
