id,cosmogenic inventory,cosmogenic inventory uncertainty,published age,published age uncertainty,landform group,source,shielding factor,density,nuclide,elevation,latitude,longitude
KL2D(a),1.18,0.135,228,57,T1,vander,1,2.65,26Al,4300,35,94
KL2D(b),2.14,0.157,414,97,T1,vander,1,2.65,26Al,4300,35,94
KL2D(d),1.29,0.168,250,65,T1,vander,1,2.65,26Al,4300,35,94
KL2D(e),1.41,0.124,273,65,T1,vander,1,2.65,26Al,4300,35,94
KL2D(f),1.13,0.23,218,66,T1,vander,1,2.65,26Al,4300,35,94
KL2D(g),7.52,0.264,1455,329,T1,vander,1,2.65,26Al,4300,35,94
KL2D(h),13.1,0.61,2536,553,T1,vander,1,2.65,26Al,4300,35,94
KL2D(i),1.26,0.125,244,60,T1,vander,1,2.65,26Al,4300,35,94
KL2U(a),10.5,1.37,2035,526,T1,vander,1,2.65,26Al,4300,35,94
KL2U(b),32.6,1.03,6332,1430,T1,vander,1,2.65,26Al,4300,35,94
KL2U(c),1.34,0.138,260,64,T1,vander,1,2.65,26Al,4300,35,94
KL2U(d),7.35,0.617,1423,340,T1,vander,1,2.65,26Al,4300,35,94
KL2U(e),1.33,0.097,258,61,T1,vander,1,2.65,26Al,4300,35,94
KL3D(a),13.2,0.614,2550,582,T2,vander,1,2.65,26Al,4300,35,94
KL3D(b),12.9,0.485,2508,569,T2,vander,1,2.65,26Al,4300,35,94
KL3D(c),59.2,1.59,11514,2593,T2,vander,1,2.65,26Al,4300,35,94
KL3D(e),14.9,0.503,2882,652,T2,vander,1,2.65,26Al,4300,35,94
KL3D(f),17.9,0.667,3470,787,T2,vander,1,2.65,26Al,4300,35,94
KL3U(a),18.4,0.892,3560,815,T2,vander,1,2.65,26Al,4300,35,94
KL3U(b),15.9,0.854,3088,710,T2,vander,1,2.65,26Al,4300,35,94
KL3U(3),32.3,1.24,6273,1423,T2,vander,1,2.65,26Al,4300,35,94
KL3U(4),12.6,0.643,2437,559,T2,vander,1,2.65,26Al,4300,35,94
KL4D(d),24.3,1.44,4723,989,T3,vander,1,2.65,26Al,4300,35,94
KL4D(e),24.7,0.85,5015,1032,T3,vander,1,2.65,26Al,4300,35,94
KL4D(f),28.2,1.09,5483,1127,T3,vander,1,2.65,26Al,4300,35,94
KL4U(1),119,3.47,23324,4746,T3,vander,1,2.65,26Al,4300,35,94
KL4U(2),23.4,1.05,4683,972,T3,vander,1,2.65,26Al,4300,35,94
KL4U(4),25.3,1.69,4970,1058,T3,vander,1,2.65,26Al,4300,35,94
