labID,		age,	error,	depth
GrA-19478,	4128,	65,	1.5
GrA-19143,	4106,	60,	4.5
GrA-19144,	4046,	59,	8.5
GrA-19146,	4184,	58,	12.5
GrA-19147,	4076,	62,	14.5
GrA-19148,	4107,	61,	14.5
GrA-19141,	4097,	58,	14.5
GrA-18675,	4177,	53,	17.5
GrA-19151,	4220,	59,	20.5
GrA-19476,	4281,	64,	21.5
GrA-19475,	4374,	64,	21.5
GrA-19152,	4493,	62,	22.5
GrA-18323,	4452,	52,	28.5
GrA-19474,	4616,	64,	31.5
GrA-19473,	4662,	64,	32.5
GrA-19509,	4743,	67,	33.5
GrA-19480,	4638,	67,	34.5
GrA-19483,	4810,	67,	37.5
GrA-18674,	4757,	82,	38.5
GrA-19153,	4839,	59,	41.5
GrA-19484,	4913,	65,	43.5
GrA-19154,	4880,	57,	46.5
GrA-19485,	4989,	70,	47.5
GrA-19486,	5070,	66,	48.5
GrA-19488,	4993,	67,	49.5
GrA-17626,	5115,	79,	50.5
GrA-18682,	5026,	51,	52.5
GrA-19489,	5242,	64,	53.5
GrA-18679,	5159,	50,	54.5
GrA-19490,	5130,	66,	55.5
GrA-19492,	5238,	65,	58.5
GrA-17501,	5293,	38,	59.5
GrA-18320,	5293,	54,	64.5
GrA-18678,	5368,	51,	70.5
GrA-19494,	5498,	69,	71.5
GrA-18319,	5588,	55,	73.5
GrA-18318,	5514,	57,	75.5
GrA-18688,	5535,	52,	77.5
GrA-17627,	5644,	77,	79.5
GrA-17508,	5885,	45,	99.5
