depth	min	max	median	wmean
1.5	4432.9	4712.5	4566.1	4568.6
2.5	4444.7	4719.3	4579.8	4581.4
3.5	4455.6	4729	4594.3	4594.3
4.5	4465.4	4740.2	4606.9	4607.3
5.5	4472.7	4753.4	4621.1	4620.3
6.5	4486.9	4764.2	4635.9	4633.3
7.5	4505.7	4768.8	4651.5	4646.7
8.5	4520.4	4774.4	4667.9	4660
9.5	4534.9	4780	4684.8	4673.4
10.5	4547.3	4787.6	4699.9	4686.7
11.5	4565.7	4795.3	4716.3	4700.5
12.5	4586.3	4800	4735	4715.1
13.5	4601.2	4805	4754	4729.7
14.5	4613	4813.2	4770.3	4744.6
15.5	4624.4	4827.8	4781.9	4759.3
16.5	4655.2	4843.9	4795.8	4777.6
17.5	4702.9	4861.8	4811.3	4799.6
18.5	4744.7	4889.8	4824.9	4821.8
19.5	4782.8	4926.8	4837.7	4843.6
20.5	4811.1	4972.6	4852.1	4865.5
21.5	4847.3	5014.8	4882.9	4899.1
22.5	4875.2	5049.4	4935.5	4944.5
23.5	4893.1	5093.2	4988	4989.6
24.5	4908.1	5155.5	5036.3	5034.7
25.5	4921.8	5226.9	5082.8	5079.9
26.5	4967.6	5270.4	5128.7	5125.2
27.5	5037.9	5284.8	5174.3	5170.6
28.5	5108.2	5307.3	5218.4	5216.5
29.5	5164	5348.6	5261.9	5262.3
30.5	5209.8	5411.1	5300.8	5308
31.5	5258.4	5453.8	5334.5	5345.5
32.5	5309.3	5467.2	5365.9	5375.3
33.5	5345.8	5484.9	5399.3	5405.4
34.5	5368.1	5516.1	5433.2	5435.3
35.5	5385.1	5552.5	5464.2	5465.6
36.5	5411.8	5580.4	5490	5492.3
37.5	5446.3	5590.5	5512.9	5515.5
38.5	5473.1	5603	5537.9	5538.8
39.5	5488.2	5624.5	5562.9	5562.1
40.5	5502.5	5653.7	5587.3	5585.2
41.5	5523.1	5677.4	5607.3	5606.4
42.5	5552.5	5692.3	5625.6	5625.9
43.5	5573.3	5718.7	5644.1	5645.6
44.5	5589.5	5762	5663.6	5665.5
45.5	5602.9	5810.1	5683.1	5685
46.5	5630.2	5839.3	5707	5708.9
47.5	5663.1	5851	5736.5	5737
48.5	5686.4	5859.8	5765	5765.2
49.5	5704.2	5875.5	5793.5	5793.7
50.5	5718.2	5906.4	5821.9	5822
51.5	5741	5931.6	5850.6	5848.5
52.5	5766	5941.7	5879.6	5873.3
53.5	5786.1	5956.9	5908	5898.2
54.5	5800.1	5986.1	5932.6	5923.2
55.5	5812.2	6027	5954.2	5947.8
56.5	5843.6	6056.2	5974.9	5971.2
57.5	5889.8	6076.2	5994.8	5993.5
58.5	5930.4	6099.8	6014.3	6016.1
59.5	5961.2	6128.6	6033.2	6038.5
60.5	5977.8	6160.3	6053.5	6060.8
61.5	5994.9	6184.6	6075	6081.7
62.5	6012.7	6193.5	6098.2	6100.9
63.5	6027.4	6206.3	6120.7	6120.2
64.5	6039.4	6224.5	6141.6	6139.6
65.5	6048.8	6248.7	6160.4	6158.6
66.5	6072.3	6267.6	6179.9	6178.5
67.5	6107.2	6276.8	6200.9	6199.4
68.5	6137	6286.7	6223.6	6220.5
69.5	6158.1	6300.2	6246.8	6241.6
70.5	6177.4	6318.5	6270.5	6262.5
71.5	6204	6336	6291.3	6283.2
72.5	6235.2	6348.5	6310.1	6303.7
73.5	6258.4	6367.6	6327.2	6324.2
74.5	6277.5	6393	6346.6	6344.9
75.5	6293.4	6423	6366.7	6365.3
76.5	6311.1	6443.5	6382.9	6382.2
77.5	6327.7	6456	6397.7	6395.6
78.5	6339.3	6473.3	6412.4	6409.1
79.5	6348.3	6494.4	6425.5	6422.4
80.5	6354.8	6518.5	6436.6	6435.8
81.5	6366.1	6538.8	6450.3	6450.2
82.5	6378.4	6555.1	6465	6465.8
83.5	6387.8	6578.6	6479.4	6481.5
84.5	6395.1	6607.3	6494.2	6497
85.5	6400.9	6639.6	6507.7	6512.3
86.5	6412	6663.7	6522.4	6527.9
87.5	6425.3	6676.4	6539.3	6543.6
88.5	6438.1	6690.7	6556	6559.5
89.5	6447.6	6710.9	6572.5	6575.7
90.5	6457	6738.4	6588.9	6591.6
91.5	6472.5	6757.5	6604.5	6607.5
92.5	6490	6767.3	6621.7	6623.6
93.5	6504	6780.6	6638	6639.4
94.5	6514.3	6798.5	6654.9	6655.3
95.5	6523.8	6816.4	6671	6671.2
96.5	6544.7	6833.2	6685.7	6687
97.5	6572.1	6844.4	6699.6	6702.5
98.5	6591.2	6862.1	6715	6718.7
99.5	6603.5	6880.3	6729.8	6734.7
