depth_cm,year,temp_C,native_MgCa,labID,datedMaterial,depth,age14C,age14CError
22,1251.78,10.94,2.37,SUERC 11770,Planktonic foram G. bulloides (400 yr reservoir),52.5,2151,35
24,1178.56,10.73,2.321,SUERC 11780,Planktonic foram G. bulloides (400 yr reservoir),88.5,3073,35
26,1105.34,11.24,2.442,SUERC 11781,Planktonic foram G. bulloides (400 yr reservoir),116.5,4278,35
28,1032.13,10.81,2.34,SUERC 11333,Planktonic foram G. bulloides (400 yr reservoir),144.5,6060,35
30,958.91,10.47,2.262,SUERC 11334,Planktonic foram G. bulloides (400 yr reservoir),176.5,7554,35
32,885.69,10.95,2.373,SUERC 11335,Planktonic foram G. bulloides (400 yr reservoir),216.5,7959,35
34,812.47,10.92,2.367,SUERC 11336,Planktonic foram G. bulloides (400 yr reservoir),300.5,9062,35
36,739.25,10.93,2.369,SUERC 11338,Planktonic foram G. bulloides (400 yr reservoir),388.5,9300,35
38,666.03,10.71,2.317,SUERC 11339,Planktonic foram G. bulloides (400 yr reservoir),449,9491,35
40,592.81,10.83,2.345,SUERC 11342,Planktonic foram G. bulloides (400 yr reservoir),480.5,9752,35
42,519.59,9.46,2.044,SUERC 11343,Planktonic foram G. bulloides (400 yr reservoir),585,10356,35
44,446.38,10.93,2.368,SUERC 11344,Planktonic foram G. bulloides (400 yr reservoir),637,10577,36
46,373.16,10.39,2.244,,
48,299.94,10.78,2.333,,
50,226.72,10.12,2.185,,
52,153.5,10.87,2.355,,
